Name,Score
PSAT1|29968,-0.4377343292368482
STAC|6769,0.4273979931445896
MLPH|79083,0.3501149297014765
FOXA1|3169,-0.28239779987674085
GABRP|2568,0.27298232494347796
ESR1|2099,0.26205045862963355
FOXC1|2296,0.2507913781011541
BCL11A|53335,-0.2433419254364253
ZMYND10|51364,-0.2218730648484926
UGT8|7368,-0.14880107979448134
ROPN1|54763,-0.14207846248803013
IL12RB2|3595,0.10731451573798675
GPR77|27202,0.10568613879236345
THSD4|79875,-0.10125236048975211
RGMA|56963,0.09045677537617659
LEMD1|93273,-0.06615785736080199
TBC1D9|23158,-0.061920854686895746
GATA3|2625,0.052082055417638676
VGLL1|51442,-0.04717258490005932
PPP1R14C|81706,-0.04629348275663953
WDR65|149465,-0.045098708818143485
PRR15|222171,-0.042582356514113365
DEGS2|123099,-0.041050576280689914
RARRES1|5918,-0.03542663099194245
OCA2|4948,-0.03066567906855651
C6orf97|80129,-0.02540439038661827
ART3|419,-0.024266193153614602
SFRS13B|135295,0.021808346803898832
DNAJC12|56521,-0.016680366147020464
LOC145837|145837,-0.015463376172697258
AR|367,-0.01164746169318337
