genes,scores
ESPN|83715,0.8114159033925882
GABRB3|2562,-0.43413262271876474
PLA2G2A|5320,-0.2836041832137679
FSD1|79187,0.18544739787878928
HNF4G|3174,-0.14236646376347903
?|90288,-0.0802669426268553
NCAN|1463,-0.07282486234224116
MUC15|143662,-0.06377841802010514
CPNE7|27132,-0.04276791146097729
CYP27C1|339761,-0.015394382472077356
CBLN1|869,0.012703986550047537
PPP4R4|57718,-0.001189830393548093
