Name,Score
hsa-let-7a-1,0.0411436081482069
hsa-let-7a-2,0.04159486054311
hsa-let-7a-3,0.0410957468149641
hsa-let-7b,0.0419287709766936
hsa-let-7c,-0.0370184417878988
hsa-let-7d,-0.0788933110827598
hsa-let-7g,-0.0535072421923841
hsa-let-7i,-0.0690286641419871
hsa-mir-103-2,-0.0605459871989221
hsa-mir-105-1,-0.0581116823706896
hsa-mir-105-2,-0.0578780267372496
hsa-mir-106a,-0.0788872518979517
hsa-mir-106b,-0.096272687430569
hsa-mir-10a,0.0487547336703684
hsa-mir-10b,0.0437177300635604
hsa-mir-1226,-0.0553332019619949
hsa-mir-1227,-0.0622394779167595
hsa-mir-1228,-0.0355927424311546
hsa-mir-1229,-0.0457507689495162
hsa-mir-1237,-0.0599918890126002
hsa-mir-1248,-0.0488002496257445
hsa-mir-1254,-0.0431732694914815
hsa-mir-1255a,-0.0502485840127587
hsa-mir-1258,-0.0318785487334065
hsa-mir-125b-1,-0.0331952377615791
hsa-mir-125b-2,-0.0492195389185362
hsa-mir-1262,-0.0375762212192461
hsa-mir-1269,-0.0382785411998463
hsa-mir-1270-1,-0.0399021293865608
hsa-mir-1270-2,-0.0319129508713206
hsa-mir-1271,-0.0589205246861734
hsa-mir-1274b,-0.0465691015762136
hsa-mir-1277,-0.0534278731822693
hsa-mir-128-1,-0.0552315108641943
hsa-mir-128-2,-0.0541186623598543
hsa-mir-1287,-0.046524664614743
hsa-mir-1288,-0.0435799654567179
hsa-mir-129-1,-0.0485530428807432
hsa-mir-129-2,-0.0444661295547876
hsa-mir-1291,-0.0311269161371113
hsa-mir-1292,-0.0464004111487838
hsa-mir-1295,-0.0538023214062006
hsa-mir-1296,-0.0414336674556566
hsa-mir-1301,-0.0637334815000533
hsa-mir-1306,-0.0662524211412257
hsa-mir-1307,-0.0662579183289591
hsa-mir-130a,-0.0724262219077109
hsa-mir-130b,-0.0833204402035925
hsa-mir-135b,-0.115828219219776
hsa-mir-140,-0.0721125805794687
hsa-mir-142,-0.0805991341750165
hsa-mir-1468,-0.0643674131086562
hsa-mir-146a,-0.0996102344053049
hsa-mir-146b,-0.0939195501318825
hsa-mir-148a,-0.0599769793105917
hsa-mir-149,0.0564352162207856
hsa-mir-150,-0.0588297483378603
hsa-mir-151,-0.04612801317439
hsa-mir-153-2,0.030989292433353
hsa-mir-1537,-0.0509063024503541
hsa-mir-155,-0.0878000521815626
hsa-mir-15b,-0.0479225924610906
hsa-mir-16-2,-0.0491173228044381
hsa-mir-17,-0.104168944257102
hsa-mir-181a-2,-0.0638560912830535
hsa-mir-181b-1,-0.0424280295578735
hsa-mir-181b-2,-0.0525716437733934
hsa-mir-181c,-0.0400260129542865
hsa-mir-181d,-0.0341716010517946
hsa-mir-182,0.0306011494185362
hsa-mir-185,-0.0486574254684069
hsa-mir-186,-0.0899006012966977
hsa-mir-187,-0.0518816317903285
hsa-mir-188,-0.0792357036957322
hsa-mir-18a,-0.115922780033688
hsa-mir-18b,-0.0883135833186078
hsa-mir-190b,0.122587218936121
hsa-mir-1910,-0.0414539868587829
hsa-mir-196b,-0.0421633605406193
hsa-mir-197,-0.0895667738798106
hsa-mir-1976,-0.0388838829247391
