Name,Score
FOXA1|3169,0.393560185245541
MLPH|79083,0.368758136488341
ESR1|2099,0.304347642257973
GATA3|2625,0.276748996611325
PRR15|222171,0.231121745610397
TBC1D9|23158,0.218111538594829
AGR3|155465,0.201482584963388
FOXC1|2296,-0.19696508934227
SPDEF|25803,0.196081239508161
CA12|771,0.192457807017925
THSD4|79875,0.185696962697542
AGR2|10551,0.171594913299246
VGLL1|51442,-0.156033196781031
C6orf97|80129,0.142715172281901
DEGS2|123099,0.132832430160441
BCL11A|53335,-0.127607422033893
ANXA9|8416,0.126704474545333
GPR77|27202,0.116961538231725
SLC44A4|80736,0.116872874365165
TFF3|7033,0.106498352862141
CT62|196993,0.101028381309696
ZMYND10|51364,0.0969948166654193
LOC145837|145837,0.0946154885475712
FSIP1|161835,0.0920810754463097
SFRS13B|135295,-0.0874402309202546
ERBB4|2066,0.0763552452277803
ROPN1|54763,-0.0733001425469511
STAC|6769,-0.0706959278595982
DNALI1|7802,0.0683529841131101
LMX1B|4010,0.0680924929752876
PSAT1|29968,-0.0637216120545154
CACNA2D2|9254,0.0575239907464778
PPP1R14C|81706,-0.0494912880562477
RGMA|56963,-0.043801670284984
ART3|419,-0.0434172439815543
AR|367,0.0432003757670806
SIDT1|54847,0.0258404058711244
RARRES1|5918,-0.019406285225862
