Name,Score
DDIT4L|115265,-0.07121223684210358
DEGS2|123099,-0.06962460061836745
LONRF2|164832,0.06950088564187908
LAMB3|3914,-0.06941005424065139
GLRB|2743,-0.06807549277335057
PREX2|80243,-0.06791542373749886
ZNF667|63934,0.06568982142177927
SNAP91|9892,-0.06414157357724053
DSCAML1|57453,0.06384917003905961
FBXO15|201456,0.06335757484927837
CCDC74B|91409,0.0626711431693489
SESN3|143686,-0.06200420840588309
CCDC67|159989,-0.06133840833653689
MMP9|4318,-0.06080671201749774
TMEM158|25907,0.06072054235888242
C6orf97|80129,-0.0604483596794225
LOC100128977|100128977,0.05983426360735729
NEK5|341676,0.058916810158758
ZBTB8B|728116,-0.05806844217501806
PTH2R|5746,0.05629436329048924
MT1M|4499,0.056256612907596565
TCEAL2|140597,-0.05578833329159457
CXCL3|2921,-0.05568060016412439
DUOXA1|90527,-0.05565674541174109
KIAA1045|23349,0.05464755593793394
SLC23A1|9963,0.05400980808250612
LGALS9B|284194,-0.052951951899523834
PDCD1|5133,0.05271635676216412
TRIM72|493829,-0.05269918348613775
SV2B|9899,-0.052653446969791226
IL6ST|3572,-0.052584048677347936
ID4|3400,0.05217605205990114
AQP6|363,-0.05211565702628356
IGFL1|374918,-0.051998523198648255
APBA2|321,-0.05178047372218321
FAT3|120114,-0.051222107340274284
KRT86|3892,-0.050906144358036066
UMOD|7369,0.0508111896239123
HAS1|3036,-0.05065760791204717
CNKSR2|22866,0.050513474593592254
NRG2|9542,-0.0501978602546299
KIT|3815,-0.05007830266813725
