Name,Score
GJB1|2705,-0.07626645684612617
COL4A3|1285,-0.07370358044232275
CHRDL1|91851,0.07286737491993835
RELN|5649,-0.07153454751507549
CD300LG|146894,0.07105552365947161
THSD4|79875,-0.06937883600489753
CCL7|6354,0.06858328057695735
ZNF385D|79750,-0.06827711204304117
KLRC1|3821,0.06773721630731852
KLRD1|3824,0.06699195610857629
EPHB6|2051,-0.06657001194984345
GSC|145258,-0.06646848293607012
GPD1|2819,0.06571339746784885
C11orf92|399948,-0.06267740806367277
SLC6A16|28968,-0.06215625026800077
NKG7|4818,-0.062107359608598506
LAMP3|27074,0.06178547181491138
SLC1A1|6505,-0.060940738148662535
SLC38A11|151258,0.059040483443818105
PDE8B|8622,0.057200837576082436
FOXC1|2296,0.05714327314422456
COL4A4|1286,0.05664880646137004
UGT2B7|7364,0.05585558540406476
NEFM|4741,-0.0556534374240119
F2RL2|2151,0.05563060848775702
PLCXD3|345557,-0.055544517301695455
MME|4311,-0.055510849467307444
GPC2|221914,0.055496728957829915
CD1E|913,0.05540455510079677
FGF9|2254,-0.05521019139821351
COMP|1311,0.05507621093304153
TFCP2L1|29842,-0.054881225421230063
MS4A2|2206,0.0548163656511023
RAI2|10742,0.0547982386132212
DPF3|8110,-0.054771131504745094
IGJ|3512,-0.054686608691790116
HR|55806,-0.054573803184650556
MT1H|4496,-0.05450038593698134
BTLA|151888,0.054412812241115154
TSLP|85480,-0.054018210786943334
GRIA1|2890,-0.05397403609334255
COL11A2|1302,0.053874026635691005
MAL|4118,-0.053774025306070346
FBXO2|26232,-0.05354103509873272
ANXA9|8416,0.0534729230417237
CHRD|8646,0.0534710296022969
BNIPL|149428,-0.05316053726104938
KRT9|3857,0.052569032858261804
FAM71E2|284418,0.05244595052234705
ZNF229|7772,0.05243851257013854
NHLRC4|283948,0.052403974719786466
CA4|762,0.05239422504941391
GRB14|2888,0.05220014746012103
ADRA2A|150,-0.05189456930962076
DARC|2532,-0.05182289659168569
CRIP1|1396,-0.051204333034142166
CBX2|84733,-0.05119191773526779
TUSC5|286753,-0.05085236725623531
KLRG2|346689,-0.05067138465073819
LAD1|3898,0.0506474101670537
C10orf93|255352,-0.050474800392034114
TMC3|342125,-0.050377113223881206
LMX1B|4010,-0.05029875721648538
