,0
336,5.537485903779028e-14
337,5.5469195316418227e-14
338,5.5492053339081146e-14
339,5.552041429775151e-14
340,5.552853823910295e-14
341,5.588046990403957e-14
342,5.590083490773444e-14
343,5.590476369821066e-14
344,5.5916098014387193e-14
345,5.5946212778773284e-14
346,5.599754592756112e-14
347,5.633639369958993e-14
348,5.647257709399499e-14
349,5.657527895132484e-14
350,5.665575065787009e-14
351,5.687128447603393e-14
352,5.687277903640348e-14
353,5.688746387496864e-14
354,5.702109546348355e-14
355,5.745009161173437e-14
356,5.751005808892055e-14
357,5.772101105423172e-14
358,5.781338589300236e-14
359,5.786401244544532e-14
360,5.791479484784797e-14
361,5.8055599102803e-14
362,5.816102921227453e-14
363,5.840529455545057e-14
364,5.847214731805736e-14
365,5.882986812593633e-14
366,5.901211760047639e-14
367,5.925260319873374e-14
368,5.961357100508745e-14
369,5.9958517593643e-14
370,6.003783656849498e-14
371,6.024392028762206e-14
372,6.029186883578739e-14
373,6.030995427303378e-14
374,6.056548472638079e-14
375,6.065543101861835e-14
376,6.14661955786691e-14
377,6.148696697757826e-14
378,6.150811917681118e-14
379,6.172811228037338e-14
380,6.183384768337318e-14
381,6.186218801522215e-14
382,6.200577727323673e-14
383,6.219747151213385e-14
384,6.237092185240342e-14
385,6.239555496717998e-14
386,6.242764568487638e-14
387,6.254823116265977e-14
388,6.265398280684314e-14
389,6.267650603810783e-14
390,6.268362580420454e-14
391,6.279434909821466e-14
392,6.284292750833165e-14
393,6.285125532932044e-14
394,6.289253374375264e-14
395,6.29457883164946e-14
396,6.29524248521738e-14
397,6.295591663320345e-14
398,6.300990674800183e-14
399,6.334492408816732e-14
400,6.34402948624389e-14
401,6.348382768657302e-14
402,6.35900179520238e-14
403,6.363309684006015e-14
404,6.37455583956212e-14
405,6.403324540547246e-14
406,6.40918308607917e-14
407,6.436035120535455e-14
408,6.442717435323096e-14
409,6.454428707007008e-14
410,6.470007344458619e-14
411,6.475708039712153e-14
412,6.481096976586541e-14
413,6.481467015308863e-14
414,6.484323222537929e-14
415,6.494377415506296e-14
416,6.519657387767491e-14
417,6.536641110692993e-14
418,6.557012318797076e-14
419,6.584535692413243e-14
420,6.588378507139456e-14
421,6.644605839068705e-14
422,6.649440566172089e-14
423,6.661977062293431e-14
424,6.685611263466407e-14
425,6.701474274303537e-14
426,6.705223269800686e-14
427,6.708030726052316e-14
428,6.733681695448114e-14
429,6.740865181874755e-14
430,6.763912364760289e-14
431,6.769088001346972e-14
432,6.826080442710174e-14
433,6.834589263101084e-14
434,6.84288244054818e-14
435,6.846503215205194e-14
436,6.864218728098442e-14
437,6.890710450621019e-14
438,6.925835393180097e-14
439,6.933708937696706e-14
440,6.939016720512246e-14
441,6.959656122229892e-14
442,6.977102497861993e-14
443,6.980189272618399e-14
444,6.984253035107354e-14
445,6.994178232526564e-14
446,7.007076529211843e-14
447,7.018959815141762e-14
448,7.019630977587691e-14
449,7.021260307344326e-14
450,7.027228259747654e-14
451,7.032641743885422e-14
452,7.084131523382532e-14
453,7.109467422751089e-14
454,7.114649812798837e-14
455,7.136728777714318e-14
456,7.138297522766505e-14
457,7.142167389821285e-14
458,7.142470788442935e-14
459,7.150173371959899e-14
460,7.157703619045524e-14
461,7.170000488422013e-14
462,7.170651438271828e-14
463,7.173342931495926e-14
464,7.241281940933303e-14
465,7.242823882069142e-14
466,7.247510159710616e-14
467,7.259915624281042e-14
468,7.270865599857547e-14
469,7.296183259963951e-14
470,7.302003631034782e-14
471,7.306559968896585e-14
472,7.318251680828652e-14
473,7.319915868235806e-14
474,7.320595472202791e-14
475,7.351858688611e-14
476,7.360439680944272e-14
477,7.360568476608746e-14
478,7.384021326684781e-14
479,7.391237788293445e-14
480,7.424565034635846e-14
481,7.436241457428688e-14
482,7.437419904745557e-14
483,7.455552639182332e-14
484,7.534307236010876e-14
485,7.547179095065842e-14
486,7.558525587357074e-14
487,7.563486277995693e-14
488,7.57343652829528e-14
489,7.578604972104245e-14
490,7.604552444968011e-14
491,7.624994810416603e-14
492,7.664933096446687e-14
493,7.688242824441583e-14
494,7.690615630690978e-14
495,7.690757940567752e-14
496,7.693041309413181e-14
497,7.695820951894528e-14
498,7.716621035715226e-14
499,7.742900691975111e-14
500,7.743460394211165e-14
501,7.783517811957706e-14
502,7.784814822476238e-14
503,7.80157528047162e-14
504,7.81499453562649e-14
505,7.837629456383729e-14
506,7.84381622307356e-14
507,7.845121006582493e-14
508,7.84524010750473e-14
509,7.875385621591912e-14
510,7.879474182978283e-14
511,7.883011013108624e-14
512,7.911111847817545e-14
513,7.917223826492521e-14
514,7.933558650721901e-14
515,7.946313833006867e-14
516,7.949536653894575e-14
517,7.99142091191785e-14
518,8.00208235086862e-14
519,8.029214838321646e-14
520,8.032878042035367e-14
521,8.063483939177658e-14
522,8.084375336194881e-14
523,8.094200783133322e-14
524,8.124137181476654e-14
525,8.133071041037994e-14
526,8.155404337299409e-14
527,8.16566299352933e-14
528,8.166943141700329e-14
529,8.208026276019516e-14
530,8.242196251335284e-14
531,8.249722762832706e-14
532,8.25457813969443e-14
533,8.261383846336991e-14
534,8.296354760054387e-14
535,8.299360474645485e-14
536,8.308174231399298e-14
537,8.336157908507153e-14
538,8.340502321331727e-14
539,8.346127076719287e-14
540,8.353798591888432e-14
541,8.357018938517183e-14
542,8.365209335047913e-14
543,8.372176445439041e-14
544,8.398196494345158e-14
545,8.405750824705193e-14
546,8.409512146628133e-14
547,8.414969086379483e-14
548,8.422357348017534e-14
549,8.440766973478584e-14
550,8.46591719227724e-14
551,8.478983131307864e-14
552,8.513187835447416e-14
553,8.52844610023161e-14
554,8.545393091310937e-14
555,8.549899467109568e-14
556,8.551750335992767e-14
557,8.60009537307381e-14
558,8.631468006779771e-14
559,8.653197262804682e-14
560,8.665012600418622e-14
561,8.665336196126958e-14
562,8.665951224894746e-14
563,8.667104446981943e-14
564,8.693344107591439e-14
565,8.715223553438537e-14
566,8.721144791202282e-14
567,8.741802041019815e-14
568,8.744535521394416e-14
569,8.76758016711314e-14
570,8.78531192842221e-14
571,8.7943689383277e-14
572,8.797021522643179e-14
573,8.805050969215958e-14
574,8.844659080928258e-14
575,8.84703214280117e-14
576,8.862571717354492e-14
577,8.869198006726355e-14
578,8.879250883576177e-14
579,8.893224855989815e-14
580,8.917318670145158e-14
581,8.933168787152052e-14
582,8.934307649603381e-14
583,8.938291366667384e-14
584,8.941879958853088e-14
585,8.95718583966362e-14
586,8.968591315540267e-14
587,8.970064343439313e-14
588,8.973104406282256e-14
589,8.9753548408126e-14
590,8.97976700823065e-14
591,9.018723284942569e-14
592,9.092675459436422e-14
593,9.122281230209542e-14
594,9.143853023851938e-14
595,9.168342793351119e-14
596,9.173206637198029e-14
597,9.196221903872791e-14
598,9.20512315409186e-14
599,9.209387245244804e-14
600,9.211441381220906e-14
601,9.241538539343375e-14
602,9.250096171763899e-14
603,9.260059022685139e-14
604,9.292958240032099e-14
605,9.29297444244081e-14
606,9.295421723295049e-14
607,9.30677562277373e-14
608,9.326608875951542e-14
609,9.340422580512584e-14
610,9.358299492223902e-14
611,9.385852584328211e-14
612,9.388365076636505e-14
613,9.406361607187183e-14
614,9.408706584769195e-14
615,9.410604329528332e-14
616,9.466928845527916e-14
617,9.481581673457023e-14
618,9.491284107189157e-14
619,9.538366934658467e-14
620,9.547065989848957e-14
621,9.577560444659262e-14
622,9.584289473299704e-14
623,9.596147804867067e-14
624,9.604157447877262e-14
625,9.621867682071547e-14
626,9.639674053799269e-14
627,9.640805146739838e-14
628,9.641943478946762e-14
629,9.662195393234027e-14
630,9.690695578434221e-14
631,9.715872442205961e-14
632,9.747234334442397e-14
633,9.764283212152528e-14
634,9.764915965995034e-14
635,9.802370440230241e-14
636,9.808284620491579e-14
637,9.841861104278078e-14
638,9.85150211062068e-14
639,9.851978269266914e-14
640,9.866432507575926e-14
641,9.88645522132255e-14
642,9.888970317605912e-14
643,9.891883459446225e-14
644,9.912975010077944e-14
645,9.928317865104505e-14
646,9.997276396558918e-14
647,1.0021192641417968e-13
648,1.0031669504744721e-13
649,1.0036382288835614e-13
650,1.006158671807759e-13
651,1.0069476747815006e-13
652,1.0113123974158932e-13
653,1.0135420036439135e-13
654,1.0136494522855215e-13
655,1.0137437477762906e-13
656,1.0140517508300012e-13
657,1.0155451604885741e-13
658,1.0172752039907299e-13
659,1.0176613910931604e-13
660,1.018462793569254e-13
661,1.0193351482330684e-13
662,1.0195268139118704e-13
663,1.0211797371887874e-13
664,1.0235506502077826e-13
665,1.0259398892701544e-13
666,1.0274376651811163e-13
667,1.0289275844255092e-13
668,1.0297506282540743e-13
669,1.029866454446288e-13
670,1.0320950746225224e-13
671,1.0352243603234831e-13
672,1.0364366664832603e-13
673,1.0401504905081303e-13
674,1.0403040030346836e-13
675,1.0430709010789126e-13
676,1.044353351348891e-13
677,1.045156892818933e-13
678,1.046469219609162e-13
679,1.0484635858844746e-13
680,1.0488989374391845e-13
681,1.0501649780891286e-13
682,1.0509354501493166e-13
683,1.0515505420452832e-13
684,1.0528426313509285e-13
685,1.0541112172223888e-13
686,1.0591075082959959e-13
687,1.0599176146852607e-13
688,1.060879564386172e-13
689,1.0669928873762471e-13
690,1.0670637501987234e-13
691,1.0705572408976755e-13
692,1.0710531301621083e-13
693,1.071529565835201e-13
694,1.0718909348132068e-13
695,1.074129928668321e-13
696,1.0782452737430506e-13
697,1.0805771338881082e-13
698,1.0807920358284285e-13
699,1.081594072979168e-13
700,1.0833673811961362e-13
701,1.0894084864486351e-13
702,1.0907969045705077e-13
703,1.090973198878421e-13
704,1.0920870180204172e-13
705,1.094207954326442e-13
706,1.0945446816708846e-13
707,1.0970004356232826e-13
708,1.0974557181861687e-13
709,1.0991800467444797e-13
710,1.1009907651789629e-13
711,1.1018890884388268e-13
712,1.1019319509707727e-13
713,1.1031665838212172e-13
714,1.1033367075167322e-13
715,1.1041871263512488e-13
716,1.1077939239317982e-13
717,1.1139768427145564e-13
718,1.1174822279542748e-13
719,1.122213042707569e-13
720,1.1271248368688852e-13
721,1.129857992332907e-13
722,1.129953701234223e-13
723,1.1309206262716061e-13
724,1.1309829153699833e-13
725,1.1314928340517311e-13
726,1.1318882113278383e-13
727,1.1336170235199384e-13
728,1.13367545751943e-13
729,1.1340942627779003e-13
730,1.1347038964665409e-13
731,1.1414291108548137e-13
732,1.1418710684658883e-13
733,1.1434810526626322e-13
734,1.1442077257643308e-13
735,1.1446839727978016e-13
736,1.146586134627432e-13
737,1.1504149715404309e-13
738,1.1520489791307027e-13
739,1.156430282542472e-13
740,1.1568792056525358e-13
741,1.1577141453624786e-13
742,1.1605619227432308e-13
743,1.1609028198814184e-13
744,1.1614618965701056e-13
745,1.1623344528402724e-13
746,1.162537860116593e-13
747,1.1637533515947753e-13
748,1.1638216739711942e-13
749,1.1659674611856857e-13
750,1.170264188751855e-13
751,1.1702917069789978e-13
752,1.1724298702441747e-13
753,1.1747815544509088e-13
754,1.1766729496062158e-13
755,1.1782841161906962e-13
756,1.189109011023841e-13
757,1.190104237110208e-13
758,1.1905883982247886e-13
759,1.1921266679943368e-13
760,1.1930440951286752e-13
761,1.1953285103532582e-13
762,1.1961489510637737e-13
763,1.198904710944637e-13
764,1.1990141168946348e-13
765,1.1993718027870937e-13
766,1.2018250449069264e-13
767,1.2024967528201309e-13
768,1.2045759576783362e-13
769,1.209059686157678e-13
770,1.2108971005719684e-13
771,1.2148480256767204e-13
772,1.2156811823756515e-13
773,1.220428050467154e-13
774,1.2205173454704742e-13
775,1.2246456348470578e-13
776,1.2248256057801156e-13
777,1.2248485767389828e-13
778,1.2290988518094656e-13
779,1.2297407726470511e-13
780,1.2335508401456764e-13
781,1.233569482315875e-13
782,1.2338956614073787e-13
783,1.2413913661331506e-13
784,1.2449054285697227e-13
785,1.248556357064932e-13
786,1.2486124291963271e-13
787,1.2502116052065188e-13
788,1.2513719795756052e-13
789,1.2513995224659034e-13
790,1.2514089236544202e-13
791,1.257625050706517e-13
792,1.2577128755700618e-13
793,1.2580047221283815e-13
794,1.2595805129634395e-13
795,1.2597854458776963e-13
796,1.2601282598711614e-13
797,1.2644788938226968e-13
798,1.2652202401975769e-13
799,1.2667770889022959e-13
800,1.2675944803746555e-13
801,1.2705274358298226e-13
802,1.2707901035519116e-13
803,1.2722571293819517e-13
804,1.2732094492020755e-13
805,1.274826718112169e-13
806,1.2751156139519646e-13
807,1.278784140738604e-13
808,1.279367578029334e-13
809,1.2796226992445613e-13
810,1.283709300516897e-13
811,1.2856649832490163e-13
812,1.2869921676952915e-13
813,1.2919889745507062e-13
814,1.2994494356806563e-13
815,1.2997784639712327e-13
816,1.2999774382702048e-13
817,1.3036527007828838e-13
818,1.3038092384521002e-13
819,1.3049504477985942e-13
820,1.306124285327458e-13
821,1.3062776965446305e-13
822,1.3072479090755378e-13
823,1.30766451617675e-13
824,1.3122110071733318e-13
825,1.3151731841499705e-13
826,1.3286822613481936e-13
827,1.3303735509001305e-13
828,1.3360112285224924e-13
829,1.337039887138758e-13
830,1.3371293494383411e-13
831,1.3374256339222436e-13
832,1.3377830554049552e-13
833,1.33905562602005e-13
834,1.339491037958246e-13
835,1.3411174051445932e-13
836,1.3426682231408874e-13
837,1.344504878482577e-13
838,1.3495850509262292e-13
839,1.3521838806729197e-13
840,1.3530026034444004e-13
841,1.3531989671364348e-13
842,1.356157283224775e-13
843,1.3574003779823396e-13
844,1.3607126054953403e-13
845,1.3609592259185544e-13
846,1.3615900124428328e-13
847,1.3692507923646908e-13
848,1.370440536273345e-13
849,1.3725903154884374e-13
850,1.3728930128470758e-13
851,1.374493704700584e-13
852,1.3762638519387447e-13
853,1.3779999645273748e-13
854,1.3801357461847865e-13
855,1.3804838667185133e-13
856,1.3808742577770452e-13
857,1.381564210773614e-13
858,1.3815928925663832e-13
859,1.3828820925201198e-13
860,1.3868687103777965e-13
861,1.3929035433988803e-13
862,1.3934494771209524e-13
863,1.3936050403277606e-13
864,1.3948499628445583e-13
865,1.395933232271443e-13
866,1.3974499081329425e-13
867,1.4031608702929265e-13
868,1.4070572980241088e-13
869,1.407197624966959e-13
870,1.4088043634560708e-13
871,1.4099558354567417e-13
872,1.4102067098830878e-13
873,1.4182280095897662e-13
874,1.4190279099855364e-13
875,1.422870266068316e-13
876,1.4233496564175392e-13
877,1.4242397288969266e-13
878,1.42475069461017e-13
879,1.4272899171715501e-13
880,1.4315556247566697e-13
881,1.4322729803954877e-13
882,1.4328035039501453e-13
883,1.4343030782544537e-13
884,1.4371558749169128e-13
885,1.4409807774606567e-13
886,1.4444285666948338e-13
887,1.4469845000720738e-13
888,1.451283587345752e-13
889,1.4567663571045063e-13
890,1.4568215289382104e-13
891,1.457817244694867e-13
892,1.4579855192707038e-13
893,1.459165681334009e-13
894,1.4620255535749013e-13
895,1.4624720759509285e-13
896,1.4662392828997046e-13
897,1.4671464036138474e-13
898,1.4683049492383384e-13
899,1.4690630299195258e-13
900,1.4741948069203403e-13
901,1.481203858686802e-13
902,1.484336368240573e-13
903,1.4859833561182676e-13
904,1.4894541360138555e-13
905,1.4902614019839474e-13
906,1.4903234287182279e-13
907,1.491382721505585e-13
908,1.4943197952672584e-13
909,1.4965746468841505e-13
910,1.499247009056649e-13
911,1.5024243201663774e-13
912,1.5027170355284127e-13
913,1.506547012747299e-13
914,1.5070538679308544e-13
915,1.5089068718252475e-13
916,1.5111836210436857e-13
917,1.5147329702085525e-13
918,1.5154267775804847e-13
919,1.516109203541155e-13
920,1.5189459361781228e-13
921,1.5220280359254355e-13
922,1.5229943306078572e-13
923,1.524786283528163e-13
924,1.5311659931357443e-13
925,1.5360168640619423e-13
926,1.5397403338295234e-13
927,1.5398325097153703e-13
928,1.54045138783612e-13
929,1.5415017027504683e-13
930,1.544139201523639e-13
931,1.545313576686293e-13
932,1.5455704132315057e-13
933,1.5461485735692635e-13
934,1.5461869588316027e-13
935,1.549966238288021e-13
936,1.5505774045736608e-13
937,1.562350197178258e-13
938,1.5639199072058396e-13
939,1.5648519280027544e-13
940,1.5652510024170104e-13
941,1.5653650836132713e-13
942,1.566338211404487e-13
943,1.5700340260317907e-13
944,1.5704255442602986e-13
945,1.5707537765033473e-13
946,1.5749649548935144e-13
947,1.5768731851253184e-13
948,1.5775318617610852e-13
949,1.581523063468532e-13
950,1.586203580284707e-13
951,1.5875608092600615e-13
952,1.5876389232103784e-13
953,1.5884687499596607e-13
954,1.59543594578331e-13
955,1.5959999639074305e-13
956,1.6092719214194877e-13
957,1.6123480287780212e-13
958,1.6138700225841084e-13
959,1.6165818510819207e-13
960,1.6210740800437816e-13
961,1.622388631833949e-13
962,1.6292205836395762e-13
963,1.6300838908374033e-13
964,1.6327408842939723e-13
965,1.6327914482783645e-13
966,1.6344339066440957e-13
967,1.6383770916696988e-13
968,1.639161665833749e-13
969,1.6394001712409648e-13
970,1.6432022905752523e-13
971,1.643265628488342e-13
972,1.6435485160041013e-13
973,1.6436422452540594e-13
974,1.647439388537317e-13
975,1.6479882594688438e-13
976,1.648454364425358e-13
977,1.6499528757916567e-13
978,1.6515591546048569e-13
979,1.6618365944292486e-13
980,1.6632843864434441e-13
981,1.6646044805081781e-13
982,1.6660314044867945e-13
983,1.6680064748273988e-13
984,1.6693593293493878e-13
985,1.6699094154712987e-13
986,1.6730371714231852e-13
987,1.6793094359850325e-13
988,1.6833291330240133e-13
989,1.6881823126562176e-13
990,1.697714334684712e-13
991,1.701497406536825e-13
992,1.7019164915314413e-13
993,1.7044185519723318e-13
994,1.7078945243368967e-13
995,1.7110901570532444e-13
996,1.712433755172885e-13
997,1.7161610992078497e-13
998,1.7202544180256124e-13
999,1.7207127112111112e-13
1000,1.7225212000608248e-13
1001,1.7239472087156652e-13
1002,1.724959063456742e-13
1003,1.727558041729921e-13
1004,1.7337254353178914e-13
1005,1.735016965569966e-13
1006,1.7366201774529208e-13
1007,1.7400225505155452e-13
1008,1.7439082126110274e-13
1009,1.744874541038956e-13
1010,1.7465053824725676e-13
1011,1.7528610296916546e-13
1012,1.7599377218767217e-13
1013,1.7626326338336704e-13
1014,1.7627845238258894e-13
1015,1.7674014027886764e-13
1016,1.7677751057238257e-13
1017,1.7683214466043297e-13
1018,1.7683300023969833e-13
1019,1.7700548314748812e-13
1020,1.772824853009893e-13
1021,1.7742961400707896e-13
1022,1.7748238697357174e-13
1023,1.775215295255199e-13
1024,1.775318294039755e-13
1025,1.7833651383629166e-13
1026,1.7848650720411162e-13
1027,1.7885770181713897e-13
1028,1.789316179622834e-13
1029,1.7894457239687597e-13
1030,1.794176213774288e-13
1031,1.7954539808983716e-13
1032,1.7998047198385935e-13
1033,1.8001597324789686e-13
1034,1.8005369161892315e-13
1035,1.8063267391254533e-13
1036,1.8078836682045418e-13
