Name,Score
psiTPTE22|387590,0.35395660904493237
ZSCAN23|222696,0.34761330063910917
ZSCAN1|284312,0.32350872869698116
ZPLD1|131368,0.3108221118853348
ZP1|22917,0.28418021658087755
ZNF98|148198,0.2816428932185483
ZNF883|169834,0.26007564463874955
ZNF835|90485,0.21313516243565817
ZNF831|128611,0.19283657553702405
ZNF727|442319,0.1890305904935302
ZNF711|7552,0.18014995872537776
ZNF695|57116,0.1623886951890729
ZNF683|257101,0.1547767251020851
ZNF676|163223,0.1433587699716034
ZNF667|63934,0.11113476327002177
ZNF648|127665,0.10149293449317055
ZNF556|80032,0.08766452216847608
ZNF492|57615,0.07954508740902243
ZNF488|118738,0.0720599834901511
ZNF486|90649,0.06368681639446452
ZNF385D|79750,0.06317935172199868
ZNF385B|151126,0.05886590200603893
ZNF334|55713,0.05873903583792246
ZNF280B|140883,0.05188826275963345
ZNF257|113835,0.04744794687555724
ZNF238|10472,0.04338822949583042
ZNF229|7772,0.04326136332771395
ZNF214|7761,0.04211956781466578
ZNF208|7757,0.03679118875377433
ZNF204P|7754,0.035776259408842624
ZNF114|163071,0.03539566090449323
ZMYND10|51364,0.03438073155956153
ZMAT4|79698,0.03349266838274629
ZIM2|23619,0.032350872869698115
ZIC4|84107,0.030955345020417024
ZIC2|7546,0.02994041567548532
ZIC1|7545,0.028671753994320686
ZG16B|124220,0.027910556985621907
ZFR2|23217,0.027656824649388977
ZFP57|346171,0.027656824649388977
ZDHHC22|283576,0.02740309231315605
ZBTB7C|201501,0.02575383212764203
ZBTB8B|728116,0.02575383212764203
ZBTB16|7704,0.024358304278360932
ZBP1|81030,0.024104571942128006
ZBED2|79413,0.022962776429079842
ZBBX|79740,0.022835910260963377
ZAP70|7535,0.021440382411682283
YSK4|80122,0.021440382411682283
YBX2|51087,0.020806051571099965
XPNPEP2|7512,0.020044854562401185
XK|7504,0.020044854562401185
XKR9|389668,0.019664256058051797
XIRP1|165904,0.01941052372181887
XDH|7498,0.019283657553702406
XCL2|6846,0.018522460545003627
XCL1|6375,0.017888129704421312
WT1|7490,0.017634397368188386
WSCD2|9671,0.017126932695722533
WNT7B|7477,0.016746334191373145
WNT6|7475,0.016492601855140218
WNT4|54361,0.016112003350790827
WNT3A|89780,0.01573140484644144
WNT11|7481,0.015477672510208512
WNT10A|80326,0.015350806342092049
WNK4|65266,0.015223940173975586
WNK3|65267,0.01497020783774266
WIT1|51352,0.01458960933339327
WISP3|8838,0.014335876997160343
WISP2|8839,0.01420901082904388
WIF1|11197,0.013828412324694488
WFDC6|140870,0.013828412324694488
WFDC2|10406,0.013701546156578025
WDR72|256764,0.013194081484112172
WDR66|144406,0.013194081484112172
WDR65|149465,0.013067215315995709
WDR63|126820,0.013067215315995709
WDR38|401551,0.012686616811646319
WDR17|116966,0.012356764774543515
WBSCR26|171022,0.011887359952512604
WBSCR17|64409,0.011874673335700957
VWDE|221806,0.011836613485266018
VWA5B2|90113,0.011608254382656384
VWA3B|200403,0.011417955130481688
VWA3A|146177,0.01137989528004675
VWA2|340706,0.011189596027872055
VTN|7448,0.011126162943813824
VTCN1|79679,0.011037356626132299
VSTM2L|128434,0.010821684140334312
VSTM2A|222008,0.010796310906711019
VSNL1|7447,0.010707504589029495
VSIG2|23584,0.010694817972217848
VSIG1|340547,0.010504518720043153
VPREB3|29802,0.010479145486419861
VNN3|55350,0.010403025785549982
VIT|5212,0.010403025785549982
VIPR2|7434,0.010339592701491752
VIL1|7429,0.010111233598882116
VGLL1|51442,0.010111233598882116
