"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0.0141178844431644,0,-0.988059507258992,0,0.0728791364854512,0,0,-0.00300585351610761,-0.0371053869078871,0,0,0,0,0,0.023676188529499,0,0,0,0,0,0,0,0,0,0,-0.0682231765294411,0,-0.107828188833476,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.112269252646799,0,0,0,0.1538294681974,0,0,0,-0.273459676709676,0,0,0,0,0.0438594252177844,0,-0.794785038885166,-0.438647470468901,0,0,-0.0834802784789356,0,0,0.133776457264193,0,-0.192263818642994,0,0,-0.0332104035042221,0,0
0.880646701500927,0.238228221195709,0.0288720360511079,0.109556698599981,0.0529044348092798,0.00733836808141605,0,0.0646610858227847,-0.0295436704926654,-0.0315370464841521,0,0.00366197289176431,-0.0069308979850511,0.13582860008899,-0.196831935505545,0.0133237094297044,0.109565375200174,0,0.167795525701363,-0.0971651957364664,0.0606982368581131,0.163056273689918,0.0267139205958164,-0.0443918881821984,0,0.0376619161646751,0,-0.0675629014522865,0,0
0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-0.645315343312426,0.398837584558139,0,0,0,-0.0442022742754571,0,0,0,0,0,0,0,0,0,0.260995322681103,0.595335442684928,0,0,0,0,0,0,0,0,0
0.887270956665413,-0.0588066190181495,0.0273693934026227,-0.0353960601580428,0.0598014380780962,0.0152526020336963,0.0655894339916138,-0.136271355563291,-0.00985871654311119,-0.00977562463675474,-0.0426609355611436,0.116260840310758,-0.0908207732666734,0.048368324882097,-0.0990673248024427,-0.0490863391716117,-0.0118009395516076,-0.034746883374299,-0.0217360824298648,0.171940624628596,-0.0775870643726539,0.0317285540826182,0.165419072739755,-0.134024689471726,-0.104013018034226,0.0680405748793266,-0.0182131935602988,-0.100563699767783,-0.103144406999784,-0.148328656533349
0,0,0.18547536643447,0.104063626064018,-0.96054689691414,0,0,0,0,-0.0481798281564575,0,-0.129409477947797,0,0,0,-0.0351781535915588,0,-0.100477408535893,0,0.00863912901083471,0,0.0145939116658462,-0.00586396113222297,0,0,0,0,0,0.0373628855547984,0
