Methods	Scenario	n	type	Values	Confidence
SGCCA	Linear	200	F1	0.0969	0.0072
SGCCA	Linear	400	F1	0.0936	0.0093
SGCCA	NonLinear	100	F1	0.095	0.0064
SGCCA	NonLinear	200	F1	0.0959	0.0066
SGCCA	NonLinear	400	F1	0.0942	0.0072
DGCCA	Linear	100	MCC	-0.039	0.0735
DGCCA	Linear	200	MCC	-0.0248	0.0598
DGCCA	Linear	400	MCC	0.0269	0.0558
DGCCA	NonLinear	100	MCC	-0.1467	0.0576
DGCCA	NonLinear	200	MCC	-0.2564	0.0275
DGCCA	NonLinear	400	MCC	-0.1757	0.0105
SNGCCA	Linear	100	MCC	0.7778	0.1569
SNGCCA	Linear	200	MCC	0.7759	0.1704
SNGCCA	Linear	400	MCC	0.7029	0.1714
SNGCCA	NonLinear	100	MCC	0.6164	0.1021
SNGCCA	NonLinear	200	MCC	0.6509	0.1816
SNGCCA	NonLinear	400	MCC	0.5478	0.1522
KSSHIBA	Linear	100	MCC	-0.1154	0.0003
KSSHIBA	Linear	200	MCC	-0.0333	0.00437
KSSHIBA	Linear	400	MCC	-0.0214	0.0022
KSSHIBA	NonLinear	100	MCC	-0.1898	0.00976
KSSHIBA	NonLinear	200	MCC	-0.2972	0.00678
KSSHIBA	NonLinear	400	MCC	-0.2616	0.00649
RGCCA	Linear	100	MCC	0.0066	0.0563
RGCCA	Linear	200	MCC	0.0056	0.06
RGCCA	Linear	400	MCC	-0.0012	0.0501
RGCCA	NonLinear	100	MCC	0.0035	0.0567
RGCCA	NonLinear	200	MCC	0.0093	0.0453
RGCCA	NonLinear	400	MCC	-0.0072	0.0571
SGCCA	Linear	100	MCC	0.0061	0.0509
SGCCA	Linear	200	MCC	0.0163	0.0499
SGCCA	Linear	400	MCC	-0.006	0.06
SGCCA	NonLinear	100	MCC	0.0011	0.0534
SGCCA	NonLinear	200	MCC	0.0076	0.0555
SGCCA	NonLinear	400	MCC	-0.0059	0.0622
