,Methods,Scenario,n,type,Values,std
237,DGCCA,Nonlinear,200,Recall,0.017251905301380936,0.007028320792951231
238,DGCCA,Nonlinear,200,FS,0.03293465676271753,0.013400549928641346
239,DGCCA,Nonlinear,200,MCC,-0.05324541532086049,0.048457597132243624
240,KSSHIBA,Nonlinear,200,Specificity,0.9542121374393155,0.003807182654627873
241,KSSHIBA,Nonlinear,200,Precision,0.29266666666666663,0.06317172363222856
242,KSSHIBA,Nonlinear,200,Recall,0.011907928636125524,0.0025421066560845
243,KSSHIBA,Nonlinear,200,FS,0.022884707092398572,0.0048875256369394745
244,KSSHIBA,Nonlinear,200,MCC,-0.10566317787481949,0.019921455039623174
245,SNGCCA,Nonlinear,200,Specificity,0.9942025711266009,0.0034338998883147705
246,SNGCCA,Nonlinear,200,Precision,0.7726666666666666,0.13502098602316112
247,SNGCCA,Nonlinear,200,Recall,0.9650341602841602,0.1337741273739851
248,SNGCCA,Nonlinear,200,FS,0.8498815372425577,0.1267373163821271
249,SNGCCA,Nonlinear,200,MCC,0.8561154111471991,0.12203937194181534
