,Methods,Scenario,n,type,Values,std
84,SGCCA,Nonlinear,200,MCC,0.007421 ,0.058404 
85,DGCCA,Nonlinear,200,Specificity,0.881309 ,0.008702 
86,DGCCA,Nonlinear,200,Precision,0.057333 ,0.055793 
87,DGCCA,Nonlinear,200,Recall,0.004731 ,0.004569 
88,DGCCA,Nonlinear,200,FS,0.008740 ,0.008444 
89,DGCCA,Nonlinear,200,MCC,-0.255557 ,0.026495 
90,KSSHIBA,Nonlinear,200,Specificity,0.920086 ,0.000526 
91,KSSHIBA,Nonlinear,200,Precision,0.333333 ,0.000000 
92,KSSHIBA,Nonlinear,200,Recall,0.028595 ,0.000135 
93,KSSHIBA,Nonlinear,200,FS,0.052671 ,0.000229 
94,KSSHIBA,Nonlinear,200,MCC,-0.116102 ,0.001388 
95,SNGCCA,Nonlinear,200,Specificity,0.989730 ,0.008772 
96,SNGCCA,Nonlinear,200,Precision,0.801333 ,0.171524 
97,SNGCCA,Nonlinear,200,Recall,1.000000 ,0.000000 
98,SNGCCA,Nonlinear,200,FS,0.878411 ,0.119518 
99,SNGCCA,Nonlinear,200,MCC,0.885066 ,0.106141 
100,RGCCA,Linear,400,Specificity,1.000000 ,0.000000 
101,RGCCA,Linear,400,Precision,1.000000 ,0.000000 
102,RGCCA,Linear,400,Recall,0.281280 ,0.031379 
103,RGCCA,Linear,400,FS,0.438130 ,0.038027 
104,RGCCA,Linear,400,MCC,0.492280 ,0.033357 
105,SGCCA,Linear,400,Specificity,1.000000 ,0.000000 
106,SGCCA,Linear,400,Precision,1.000000 ,0.000000 
107,SGCCA,Linear,400,Recall,0.200961 ,0.039473 
108,SGCCA,Linear,400,FS,0.333151 ,0.046411 
109,SGCCA,Linear,400,MCC,0.396412 ,0.042002 
110,DGCCA,Linear,400,Specificity,0.955832 ,0.015828 
111,DGCCA,Linear,400,Precision,0.665333 ,0.122920 
112,DGCCA,Linear,400,Recall,0.053436 ,0.009490 
113,DGCCA,Linear,400,FS,0.098917 ,0.017595 
114,DGCCA,Linear,400,MCC,0.020520 ,0.056103 
115,KSSHIBA,Linear,400,Specificity,0.949495 ,0.000000 
116,KSSHIBA,Linear,400,Precision,0.666667 ,0.000000 
117,KSSHIBA,Linear,400,Recall,0.049751 ,0.000000 
118,KSSHIBA,Linear,400,FS,0.092593 ,0.000000 
119,KSSHIBA,Linear,400,MCC,-0.001626 ,0.000000 
120,SNGCCA,Linear,400,Specificity,1.000000 ,0.000000 
121,SNGCCA,Linear,400,Precision,1.000000 ,0.000000 
122,SNGCCA,Linear,400,Recall,0.994032 ,0.023997 
123,SNGCCA,Linear,400,FS,0.996853 ,0.012800 
124,SNGCCA,Linear,400,MCC,0.996768 ,0.013076 
125,RGCCA,Nonlinear,400,Specificity,0.950488 ,0.016076 
126,RGCCA,Nonlinear,400,Precision,0.625333 ,0.124643 
127,RGCCA,Nonlinear,400,Recall,0.050258 ,0.009798 
128,RGCCA,Nonlinear,400,FS,0.093029 ,0.018143 
129,RGCCA,Nonlinear,400,MCC,0.001625 ,0.057488 
130,SGCCA,Nonlinear,400,Specificity,0.946712 ,0.015409 
131,SGCCA,Nonlinear,400,Precision,0.600000 ,0.116619 
132,SGCCA,Nonlinear,400,Recall,0.048061 ,0.009231 
133,SGCCA,Nonlinear,400,FS,0.088986 ,0.017084 
134,SGCCA,Nonlinear,400,MCC,-0.011569 ,0.054608 
135,DGCCA,Nonlinear,400,Specificity,0.880706 ,0.009296 
136,DGCCA,Nonlinear,400,Precision,0.044667 ,0.055019 
137,DGCCA,Nonlinear,400,Recall,0.003732 ,0.004582 
