Methods	Scenario	n	type	Values	Confidence
DGCCA	Linear	200	Recall	0.0209	0.0195
DGCCA	NonLinear	30	Recall	0.0928	0.0285
DGCCA	NonLinear	50	Recall	0.0485	0.0154
DGCCA	NonLinear	80	Recall	0.0313	0.0099
DGCCA	NonLinear	100	Recall	0.0272	0.0085
DGCCA	NonLinear	200	Recall	0.0147	0.0078
RGCCA	Linear	30	Recall	0.1663	0.0095
RGCCA	Linear	50	Recall	0.0997	0.0075
RGCCA	Linear	80	Recall	0.0628	0.0046
RGCCA	Linear	100	Recall	0.0504	0.0039
RGCCA	Linear	200	Recall	0.0246	0.0025
RGCCA	NonLinear	30	Recall	0.1681	0.0062
RGCCA	NonLinear	50	Recall	0.1003	0.0054
RGCCA	NonLinear	80	Recall	0.0626	0.0039
RGCCA	NonLinear	100	Recall	0.0501	0.0036
RGCCA	NonLinear	200	Recall	0.0252	0.0021
SGCCA	Linear	30	Recall	0.1661	0.0108
SGCCA	Linear	50	Recall	0.1005	0.0065
SGCCA	Linear	80	Recall	0.063	0.0047
SGCCA	Linear	100	Recall	0.0503	0.0353
SGCCA	Linear	200	Recall	0.0249	0.0024
SGCCA	NonLinear	30	Recall	0.167	0.0089
SGCCA	NonLinear	50	Recall	0.0999	0.0062
SGCCA	NonLinear	80	Recall	0.0622	0.0042
SGCCA	NonLinear	100	Recall	0.0501	0.0033
SGCCA	NonLinear	200	Recall	0.0255	0.0024
KSSHIBA	Linear	30	Recall	0.1414	0.0329
KSSHIBA	Linear	50	Recall	0.0226	0.0921
KSSHIBA	Linear	80	Recall	-0.0264	0.047
KSSHIBA	Linear	100	Recall	-0.0678	0.0206
KSSHIBA	Linear	200	Recall	-0.1361	0.0634
KSSHIBA	NonLinear	30	Recall	0.0158	0.0878
KSSHIBA	NonLinear	50	Recall	-0.0405	0.0969
KSSHIBA	NonLinear	80	Recall	0.0277	0.0478
KSSHIBA	NonLinear	100	Recall	-0.0708	0.0793
KSSHIBA	NonLinear	200	Recall	-0.1118	0.0697
SNGCCA	Linear	30	F1	0.8414	0.1131
SNGCCA	Linear	50	F1	0.8146	0.1517
SNGCCA	Linear	80	F1	0.808	0.1543
SNGCCA	Linear	100	F1	0.7832	0.1503
SNGCCA	Linear	200	F1	0.7832	0.1503
SNGCCA	NonLinear	30	F1	0.7943	0.0623
SNGCCA	NonLinear	50	F1	0.7114	0.1385
SNGCCA	NonLinear	80	F1	0.6266	0.1455
SNGCCA	NonLinear	100	F1	0.6309	0.1009
SNGCCA	NonLinear	200	F1	0.7832	0.1503
DGCCA	Linear	30	F1	0.2744	0.0371
DGCCA	Linear	50	F1	0.1725	0.0216
DGCCA	Linear	80	F1	0.1002	0.1726
DGCCA	Linear	100	F1	0.0821	0.0208
DGCCA	Linear	200	F1	0.039	0.0359
DGCCA	NonLinear	30	F1	0.1521	0.0472
DGCCA	NonLinear	50	F1	0.0859	0.0274
DGCCA	NonLinear	80	F1	0.0576	0.1829
DGCCA	NonLinear	100	F1	0.0506	0.0157
DGCCA	NonLinear	200	F1	0.0276	0.0146
RGCCA	Linear	30	F1	0.2823	0.0161
RGCCA	Linear	50	F1	0.1801	0.0134
RGCCA	Linear	80	F1	0.1176	0.0086
RGCCA	Linear	100	F1	0.0956	0.0073
RGCCA	Linear	200	F1	0.0479	0.0049
RGCCA	NonLinear	30	F1	0.2863	0.0108
RGCCA	NonLinear	50	F1	0.1813	0.0099
RGCCA	NonLinear	80	F1	0.1173	0.0073
RGCCA	NonLinear	100	F1	0.0952	0.0068
RGCCA	NonLinear	200	F1	0.049	0.0041
SGCCA	Linear	30	F1	0.2825	0.0183
SGCCA	Linear	50	F1	0.1814	0.0117
SGCCA	Linear	80	F1	0.118	0.0087
SGCCA	Linear	100	F1	0.0955	0.0067
SGCCA	Linear	200	F1	0.0485	0.0047
SGCCA	NonLinear	30	F1	0.2845	0.0151
SGCCA	NonLinear	50	F1	0.1806	0.0112
SGCCA	NonLinear	80	F1	0.1166	0.0078
SGCCA	NonLinear	100	F1	0.095	0.0064
SGCCA	NonLinear	200	F1	0.0495	0.0046
KSSHIBA	Linear	30	F1	0.176	0.0437
KSSHIBA	Linear	50	F1	0.1036	0.0838
KSSHIBA	Linear	80	F1	0.0229	0.0663
KSSHIBA	Linear	100	F1	-0.1145	0.008
KSSHIBA	Linear	200	F1	-0.0763	0.0207
KSSHIBA	NonLinear	30	F1	0.0664	0.0076
KSSHIBA	NonLinear	50	F1	0.0829	0.0216
KSSHIBA	NonLinear	80	F1	0.0511	0.0139
KSSHIBA	NonLinear	100	F1	-0.1155	0.0754
KSSHIBA	NonLinear	200	F1	-0.1392	0.0829
SNGCCA	Linear	30	MCC	0.8124	0.1356
SNGCCA	Linear	50	MCC	0.7965	0.1691
SNGCCA	Linear	80	MCC	0.7988	0.163
SNGCCA	Linear	100	MCC	0.7778	0.1569
SNGCCA	Linear	200	MCC	0.7778	0.1569
SNGCCA	NonLinear	30	MCC	0.7557	0.0768
SNGCCA	NonLinear	50	MCC	0.6821	0.1571
SNGCCA	NonLinear	80	MCC	0.6061	0.157
SNGCCA	NonLinear	100	MCC	0.6164	0.1021
SNGCCA	NonLinear	200	MCC	0.7778	0.1569
DGCCA	Linear	30	MCC	-0.0065	0.119
DGCCA	Linear	50	MCC	-0.0194	0.0803
DGCCA	Linear	80	MCC	-0.0565	0.0641
DGCCA	Linear	100	MCC	-0.039	0.0735
DGCCA	Linear	200	MCC	-0.029	0.0911
DGCCA	NonLinear	30	MCC	-0.3469	0.1302
DGCCA	NonLinear	50	MCC	-0.3135	0.0895
DGCCA	NonLinear	80	MCC	-0.2104	0.0677
DGCCA	NonLinear	100	MCC	-0.1467	0.0576
DGCCA	NonLinear	200	MCC	-0.0542	0.0412
RGCCA	Linear	30	MCC	-0.0057	0.1003
RGCCA	Linear	50	MCC	-0.0045	0.0893
RGCCA	Linear	80	MCC	0.0067	0.0596
RGCCA	Linear	100	MCC	0.0066	0.0563
RGCCA	Linear	200	MCC	-0.0061	0.0429
RGCCA	NonLinear	30	MCC	0.0203	0.0786
RGCCA	NonLinear	50	MCC	0.0086	0.0697
RGCCA	NonLinear	80	MCC	0.001	0.0599
RGCCA	NonLinear	100	MCC	0.0035	0.0567
RGCCA	NonLinear	200	MCC	0.0038	0.0393
SGCCA	Linear	30	MCC	-0.0057	0.1122
SGCCA	Linear	50	MCC	0.0074	0.0761
SGCCA	Linear	80	MCC	0.0077	0.0633
SGCCA	Linear	100	MCC	0.0061	0.0509
SGCCA	Linear	200	MCC	-0.001	0.0422
SGCCA	NonLinear	30	MCC	0.0043	0.1105
SGCCA	NonLinear	50	MCC	-0.002	0.0843
SGCCA	NonLinear	80	MCC	-0.0051	0.0638
SGCCA	NonLinear	100	MCC	0.0011	0.0534
SGCCA	NonLinear	200	MCC	0.008	0.0429
KSSHIBA	Linear	30	MCC	-0.0828	0.0251
KSSHIBA	Linear	50	MCC	-0.1105	0.051
KSSHIBA	Linear	80	MCC	-0.1012	0.0598
KSSHIBA	Linear	100	MCC	-0.1567	0.0645
KSSHIBA	Linear	200	MCC	-0.1744	0.031
KSSHIBA	NonLinear	30	MCC	-0.3543	0.0748
KSSHIBA	NonLinear	50	MCC	-0.357	0.0792
KSSHIBA	NonLinear	80	MCC	-0.2965	0.0642
KSSHIBA	NonLinear	100	MCC	-0.2755	0.0556
KSSHIBA	NonLinear	200	MCC	-0.1084	0.0602
