Methods	Scenario	n	type	Values	Confidence
SNGCCA	NonLinear	10	F1	0.7185	0.0166
SNGCCA	NonLinear	20	F1	0.7626	0.0318
DGCCA	Linear	5	F1	0.0821	0.0235
DGCCA	Linear	10	F1	0.1436	0.0266
DGCCA	Linear	20	F1	0.2609	0.0343
DGCCA	NonLinear	5	F1	0.0506	0.0191
DGCCA	NonLinear	10	F1	0.0865	0.0224
DGCCA	NonLinear	20	F1	0.1312	0.0277
RGCCA	Linear	5	F1	0.0956	0.0395
RGCCA	Linear	10	F1	0.1805	0.0515
RGCCA	Linear	20	F1	0.3239	0.0556
RGCCA	NonLinear	5	F1	0.0952	0.044
RGCCA	NonLinear	10	F1	0.1801	0.0585
RGCCA	NonLinear	20	F1	0.3281	0.0879
SGCCA	Linear	5	F1	0.0955	0.0357
SGCCA	Linear	10	F1	0.1812	0.052
SGCCA	Linear	20	F1	0.3241	0.0634
SGCCA	NonLinear	5	F1	0.095	0.0422
SGCCA	NonLinear	10	F1	0.1833	0.0572
SGCCA	NonLinear	20	F1	0.3306	0.0808
KSSHIBA	Linear	5	MCC	-0.1182	0.0752
KSSHIBA	Linear	10	MCC	-0.1149	0.06
KSSHIBA	NonLinear	5	MCC	-0.1674	0.0702
KSSHIBA	NonLinear	10	MCC	-0.2048	0.0965
KSSHIBA	Linear	20	MCC	-0.2765	0.0454
KSSHIBA	NonLinear	20	MCC	-0.3944	0.0542
SNGCCA	Linear	5	MCC	0.7778	0.1432
SNGCCA	Linear	10	MCC	0.5858	0.1611
SNGCCA	Linear	20	MCC	0.6392	0.136
SNGCCA	NonLinear	5	MCC	0.6164	0.1279
SNGCCA	NonLinear	10	MCC	0.688	0.1468
SNGCCA	NonLinear	20	MCC	0.7117	0.1344
DGCCA	Linear	5	MCC	-0.039	0.1395
DGCCA	Linear	10	MCC	-0.0745	0.0897
DGCCA	Linear	20	MCC	-0.087	0.0724
DGCCA	NonLinear	5	MCC	-0.1467	0.1081
DGCCA	NonLinear	10	MCC	-0.2148	0.0832
DGCCA	NonLinear	20	MCC	-0.3122	0.0495
RGCCA	Linear	5	MCC	0.0066	0.0719
RGCCA	Linear	10	MCC	0.0051	0.0649
RGCCA	Linear	20	MCC	-0.005	0.043
RGCCA	NonLinear	5	MCC	0.0035	0.0697
RGCCA	NonLinear	10	MCC	0.0034	0.0503
RGCCA	NonLinear	20	MCC	-0.0034	0.0372
SGCCA	Linear	5	MCC	0.0061	0.0677
SGCCA	Linear	10	MCC	0.0074	0.0581
SGCCA	Linear	20	MCC	-0.0085	0.0423
SGCCA	NonLinear	5	MCC	0.0011	0.0626
SGCCA	NonLinear	10	MCC	0.0185	0.0462
SGCCA	NonLinear	20	MCC	0.0098	0.0333
