,Methods,Scenario,n,type,Values,std
88,DGCCA,Nonlinear,10,FS,0.08341901,0.021993681
89,DGCCA,Nonlinear,10,MCC,-0.214380422,0.052275845
90,KSSHIBA,Nonlinear,10,Specificity,0.866507381,0.006186965
91,KSSHIBA,Nonlinear,10,Precision,0.244333333,0.040015275
92,KSSHIBA,Nonlinear,10,Recall,0.056209237,0.008721228
93,KSSHIBA,Nonlinear,10,FS,0.091392193,0.014327064
94,KSSHIBA,Nonlinear,10,MCC,-0.127653152,0.024500394
95,SNGCCA,Nonlinear,10,Specificity,0.984032307,0.010254336
96,SNGCCA,Nonlinear,10,Precision,0.853333333,0.095568475
97,SNGCCA,Nonlinear,10,Recall,0.990132275,0.054199377
98,SNGCCA,Nonlinear,10,FS,0.914150019,0.070709142
99,SNGCCA,Nonlinear,10,MCC,0.910165786,0.073483286
100,RGCCA,Linear,20,Specificity,1,0
101,RGCCA,Linear,20,Precision,1,0
102,RGCCA,Linear,20,Recall,0.658828349,0.037269759
103,RGCCA,Linear,20,FS,0.793724024,0.026968453
104,RGCCA,Linear,20,MCC,0.756700346,0.030659807
105,SGCCA,Linear,20,Specificity,1,0
106,SGCCA,Linear,20,Precision,1,0
107,SGCCA,Linear,20,Recall,0.587349307,0.078912059
108,SGCCA,Linear,20,FS,0.737159465,0.058012204
109,SGCCA,Linear,20,MCC,0.692680174,0.066187686
110,DGCCA,Linear,20,Specificity,0.756187338,0.032523125
111,DGCCA,Linear,20,Precision,0.541333333,0.069381394
112,DGCCA,Linear,20,Recall,0.173281471,0.019937167
113,DGCCA,Linear,20,FS,0.262472733,0.030855953
114,DGCCA,Linear,20,MCC,-0.085433696,0.063367663
115,KSSHIBA,Linear,20,Specificity,0.686959573,0.008577536
116,KSSHIBA,Linear,20,Precision,0.306166667,0.017897082
117,KSSHIBA,Linear,20,Recall,0.110013822,0.005564529
118,KSSHIBA,Linear,20,FS,0.161848048,0.00838257
119,KSSHIBA,Linear,20,MCC,-0.252051134,0.016020712
120,SNGCCA,Linear,20,Specificity,0.971696823,0.012514021
121,SNGCCA,Linear,20,Precision,0.883666667,0.052333333
122,SNGCCA,Linear,20,Recall,0.97096489,0.04294477
123,SNGCCA,Linear,20,FS,0.924048271,0.036271138
124,SNGCCA,Linear,20,MCC,0.908673702,0.043907224
125,RGCCA,Nonlinear,20,Specificity,0.804361781,0.031041971
126,RGCCA,Nonlinear,20,Precision,0.639833333,0.06054819
127,RGCCA,Nonlinear,20,Recall,0.202561373,0.018129377
128,RGCCA,Nonlinear,20,FS,0.307641167,0.027538993
129,RGCCA,Nonlinear,20,MCC,0.008336451,0.059167695
130,SGCCA,Nonlinear,20,Specificity,0.800204545,0.02874198
131,SGCCA,Nonlinear,20,Precision,0.628333333,0.055901699
132,SGCCA,Nonlinear,20,Recall,0.200237967,0.016754466
133,SGCCA,Nonlinear,20,FS,0.303620457,0.025354494
134,SGCCA,Nonlinear,20,MCC,0.00057759,0.054739902
135,DGCCA,Nonlinear,20,Specificity,0.654955753,0.026996504
136,DGCCA,Nonlinear,20,Precision,0.280333333,0.057993295
137,DGCCA,Nonlinear,20,Recall,0.096123094,0.018521854
138,DGCCA,Nonlinear,20,FS,0.143111248,0.02796849
139,DGCCA,Nonlinear,20,MCC,-0.306496594,0.053813196
140,KSSHIBA,Nonlinear,20,Specificity,0.720367528,0.006226217
141,KSSHIBA,Nonlinear,20,Precision,0.229166667,0.023018712
142,KSSHIBA,Nonlinear,20,Recall,0.102043481,0.00932034
143,KSSHIBA,Nonlinear,20,FS,0.141205704,0.013290757
144,KSSHIBA,Nonlinear,20,MCC,-0.220789765,0.019081087
145,SNGCCA,Nonlinear,20,Specificity,0.933145083,0.030479023
146,SNGCCA,Nonlinear,20,Precision,0.708833333,0.14052392
147,SNGCCA,Nonlinear,20,Recall,1,0
148,SNGCCA,Nonlinear,20,FS,0.821509959,0.098836742
149,SNGCCA,Nonlinear,20,MCC,0.810372287,0.094985105
