Name,Score
LCN12|286256,0.06807931613683631
ZBBX|79740,-0.06790010735306527
QRFPR|84109,0.06437897132914565
ALB|213,0.06183482724303717
MAOA|4128,-0.06089118107780831
RUNDC3A|10900,-0.05978932481404702
APOF|319,-0.05978395525490202
CDHR3|222256,0.058695102666687045
ZNF683|257101,0.05756661433372502
SYP|6855,0.05671962048024957
POPDC3|64208,0.055882672513993856
STAP1|26228,0.05534489271895518
RBM24|221662,-0.05505728750012671
PCDHGA10|56106,0.05435895872943632
HDC|3067,-0.05324638552117618
FCGBP|8857,-0.05298411481592898
IGFALS|3483,0.05239894069396532
EPHB6|2051,-0.05234132204242539
PPARGC1A|10891,-0.052229838531268794
C2CD4B|388125,-0.05208300711200788
PAK7|57144,0.0515759150858759
TLR10|81793,0.051542148170611715
TRIM36|55521,-0.05100422006852186
ID4|3400,0.05037636071985044
