Name,mean
hsa-mir-615,-0.142038551550292
hsa-mir-491,-0.12763740675464963
hsa-mir-483,0.08143994619218677
hsa-mir-939,-0.07757463530902232
hsa-mir-581,-0.0756766818854579
hsa-mir-495,0.07175661643915737
hsa-mir-296,-0.07026665455875339
hsa-mir-16-2,0.06597198928025527
hsa-mir-550a-2,0.0648933906351675
hsa-mir-1976,-0.06466631338348347
hsa-mir-1224,-0.0608020148732509
hsa-mir-106a,-0.06077797895200619
hsa-mir-675,0.05945799740343978
hsa-mir-639,0.0554909893018755
hsa-mir-885,0.05531347819668817
hsa-mir-3648,-0.05501042302746908
hsa-mir-31,-0.051784512131116144
hsa-mir-1255a,0.04846451892339506
hsa-mir-582,-0.044564292369156724
hsa-mir-1266,-0.04431155009837695
hsa-mir-3614,0.0438407151911349
hsa-mir-3687,-0.04145916421005022
hsa-mir-454,0.03990556951710232
hsa-mir-15b,-0.03760202324083525
hsa-mir-3199-1,0.03560014845104665
hsa-mir-3651,-0.03452664281686707
hsa-mir-548o,0.033617264660086923
hsa-mir-192,0.03218751781872482
hsa-mir-3917,0.031523658981085195
hsa-mir-489,-0.031433068364973026
hsa-mir-659,-0.02990416561775475
hsa-mir-362,0.027587519170031653
hsa-mir-210,-0.027506883768198
hsa-mir-656,0.026729677727676475
hsa-mir-1262,-0.026318358920443298
hsa-mir-541,0.026315739603534873
hsa-mir-30b,0.026198498204929352
hsa-mir-424,0.023897541718856177
hsa-mir-147b,-0.023677678131465946
hsa-mir-181b-1,0.021670839876654927
hsa-mir-3191,0.020565351990145954
hsa-mir-215,0.0173698434263126
hsa-mir-3690,-0.016615848909632303
hsa-mir-509-1,0.01602375192481992
hsa-mir-625,-0.0157118099292479
hsa-mir-550a-1,0.01548831546123013
hsa-mir-452,0.015277707266626899
hsa-mir-487a,0.01320862763297328
hsa-mir-320d-2,-0.01272803756827395
hsa-mir-627,-0.012044895531517151
hsa-mir-320e,-0.010199680099496428
