Name,Score
PHGDH|26227,-0.07630273465664437
CRTAC1|55118,-0.07422718637495647
TPH1|7166,-0.069670060077601
CNTN3|5067,0.06884917045305061
SHISA6|388336,-0.06879250266628281
SCNN1A|6337,0.06778000059054723
LOC283867|283867,0.06743321738590177
PLIN1|5346,-0.066898094866389
ABI3BP|25890,0.06609209497416246
EMID2|136227,0.06542189941447307
IL1RL1|9173,0.06423663160190198
CYP21A2|1589,0.06364105730095182
ADAM6|8755,-0.06340448695128324
PGLYRP4|57115,-0.06288789942688776
SLC16A12|387700,0.06212692515195874
RNASE7|84659,0.06202840721384658
CMA1|1215,-0.06185760238245404
C11orf70|85016,-0.06147388171507524
LAMP3|27074,0.058673900331535904
ADAMTS8|11095,-0.05860005899124217
PLD4|122618,0.05837741105455572
TRIM17|51127,0.05831215925738898
TNNT3|7140,-0.058023669939689444
CD1B|910,0.056744292220255954
ALOX15B|247,0.05634520599074149
PTN|5764,0.056142368181972005
ALX4|60529,-0.05597120681008492
PLA2G2D|26279,0.05561739678652372
COL14A1|7373,-0.05548754576919129
FUT9|10690,0.05532575229527128
MYBPC2|4606,0.05483048773766699
NOSTRIN|115677,0.05461372766777112
IGF1|3479,-0.054150468241235025
IL22RA2|116379,-0.05402937642575904
GPD1|2819,-0.05402335180080079
XPNPEP2|7512,-0.05314742808910286
FOXQ1|94234,0.05313174492244824
KCNJ10|3766,-0.05296299418556866
MSI1|4440,0.05294927480524669
RHBG|57127,0.05266899809937163
TMEM59L|25789,-0.05197389128625027
TEKT3|64518,0.05187437867635694
PAK3|5063,0.05186369848510798
TMEM158|25907,-0.051571073764229695
FIGF|2277,0.051560828195638043
COL22A1|169044,-0.05142251818033908
PDCD1|5133,-0.05131664149012646
FADS2|9415,0.0513149434383661
BEX2|84707,-0.050834430513058214
CA4|762,0.05068482251708024
HAS1|3036,0.05055373634452201
IL8|3576,0.05045631956119059
VPREB3|29802,-0.05018463590492814
