,u1_1
0,-0.016442974164641737
1,0.03261531812109087
2,0.003954803055191969
3,0.03703187248178431
4,0.017626342006169388
5,-0.018636165411930364
6,0.04654795457198471
7,-0.020009792143498854
8,-0.027632497678684954
9,0.010420130860277963
10,0.005501858621637163
11,0.0009032090483017934
12,-0.011475221198926695
13,-0.012971813218333612
14,-7.486348007554669e-05
15,-0.018257398739812542
16,0.015046576520352418
17,-0.020596005285242993
18,0.02116510988652022
19,-0.013910410681113547
20,0.010732428063894003
21,0.020151996678086155
22,-0.0317512170595598
23,0.036197753094572335
24,0.0017400228032932487
25,0.005270314651484619
26,0.011854509853088642
27,0.0299423321684584
28,-0.027882465406636935
29,0.01155794963435209
30,0.00702525474019091
31,-0.01662150202485203
32,0.03878562611198947
33,0.007605456639266293
34,0.019306655952381263
35,-0.03411315371816486
36,-0.014348215546963578
37,-0.02759807997988449
38,0.035159300048866644
39,0.04065821294327067
40,-0.0037027212685923593
41,0.028192064150679368
42,-0.02709888823292014
43,0.02613439857529648
44,0.0015586310430502869
45,0.0022499444253528227
46,-0.000936678241742912
47,0.02738731170063406
48,0.024131397551260675
49,-0.034820018089832344
50,0.013450235772301582
51,0.00932160328564154
52,-0.016524742999110775
53,-0.014457897222728194
54,-0.008323427992446666
55,0.002995593395035707
56,0.0017382850448050043
57,-0.012922708364613383
58,0.03511869312291866
59,-0.02100108098452902
60,0.01530283086083569
61,0.002903386064518527
62,-0.015964897662925078
63,-0.013005405300366838
64,-0.0007389871773779196
65,-0.02772786986594774
66,0.011134467796783894
67,0.019355698155008975
68,-0.013218454121013514
69,0.03570374004608551
70,-0.04787210500863365
71,0.020998879764656836
72,0.004485553820443427
73,-0.0011704724840836068
74,-0.01625392528122377
75,0.008454567814865204
76,0.0017372416321274672
77,-0.024606137479963475
78,-0.020840710644886448
79,-0.014322419766581744
80,-0.00787809028819103
81,-0.01611496505483236
82,-0.0012256029835737803
83,-0.011022445116535742
84,-0.04415706950133065
85,0.02739621341178
86,-0.017518736847655494
87,-0.010803704783175196
88,0.025467452869078068
89,0.028015935387883602
90,-0.053836787409863855
91,0.016770087478411293
92,0.009880862132307822
93,0.0008420464315634915
94,-0.03055318143894919
95,-0.005660332571447593
96,0.008773928545888644
97,0.008885070558613893
98,-0.07405717431905358
99,-0.007857148023815737
100,0.023158997463667085
101,0.02262482689118262
102,-0.0160201476715591
103,-0.04209603038771941
104,-0.0035484039030051146
105,0.01059036438542556
106,0.025480557180862944
107,0.007506364989172157
108,0.03694839297384178
109,0.0035084008284631506
110,-0.01737697962703154
111,-0.006747886194280633
112,-0.019016896546801925
113,0.0036087105880261206
114,0.0012847780505324717
115,0.0029159824362397376
116,0.026280505202694277
117,0.009327813389934403
118,0.010686065300843425
119,0.006887194755459
120,0.01694360566807247
121,-0.006498025913940244
122,0.03435295799225688
123,-0.0040719813679903905
124,0.005128935633369424
125,0.0070072581202249495
126,0.012570857599472046
127,-0.007371646838641081
128,-0.03140593556667021
129,-0.001878319109152361
130,0.001909848972560569
131,-0.0012831877091215647
132,0.011195498288900806
133,0.014909948343103928
134,0.012076417918085414
135,-0.022648563614511476
136,-0.0011247062078901613
137,-0.011641148859440207
138,-0.018871338653794104
139,-0.016907960071559616
140,-0.008385870993385254
141,-0.02286930089590373
142,-0.009032180780795283
143,0.03441411862837939
144,0.0223431568472076
145,-0.0368319028768262
146,-0.008777451963117569
147,0.0036622728133076333
148,-0.006237930810128048
149,-0.00513073896386873
150,0.02113230856509698
151,-0.0011023522832792742
152,-0.0014052241048545635
153,0.0021089267620859153
154,0.020356915505864385
155,0.0012384053611673848
156,-0.0182635715049419
157,-0.03233784156370277
158,0.021354880228374336
159,0.015811123662922835
160,-0.030908818260786966
161,-0.006707348798218352
162,0.02026437802929261
163,-0.003956770444364179
164,0.0219394672267557
165,-0.05089709158608687
166,0.019793061984016466
167,-0.026038001261840173
