Name,Score
TF|7018,0.06282416111651172
MUCL1|118430,0.061307245500679085
AMY1A|276,0.061238179752046415
UGT8|7368,0.059781420754964634
CD163L1|283316,-0.05892695209475346
ADRB1|153,-0.05861062045503347
ADAM29|11086,-0.05750075426780331
GREB1L|80000,-0.056163332565622656
MAG|4099,-0.055693566142051086
HAPLN1|1404,-0.05562294548043815
NXPH4|11247,0.05493193488143058
PRSS3|5646,0.05463725525779293
SHISA9|729993,-0.054349552221297406
ARMC4|55130,0.053819747466949945
CCDC65|85478,0.05371001548314758
C20orf114|92747,-0.05352479721662583
TTC22|55001,0.053100575335877864
PLP1|5354,0.05285680773280475
DPF1|8193,-0.05220407359696337
MYCBPAP|84073,-0.051919402993439
C9orf122|158228,-0.051307243198452854
RORB|6096,-0.050725492345954894
CALCR|799,0.05028777204960433
BCHE|590,0.05025262684794772
VGF|7425,0.04978414929846981
RHBDL1|9028,-0.04974973004323538
IL8|3576,0.049711187517079584
KRT17|3872,0.04964985277697407
KLK13|26085,0.049642406611020776
ALB|213,-0.049458575351504594
NKAIN1|79570,-0.049269879544548506
MME|4311,0.04874805846957544
IL33|90865,0.048705645051948694
BMP7|655,0.048188480124083125
SEZ6|124925,-0.04750948586123571
C5orf38|153571,-0.047425847449653676
SSTR1|6751,0.04739360744831855
FADS2|9415,-0.047271145945958604
PPP1R14D|54866,0.04679370231214279
SELP|6403,-0.04664823403788177
XPNPEP2|7512,-0.046529745379982106
LRG1|116844,-0.046481862854915845
SCEL|8796,-0.04642359429113944
TNNI1|7135,-0.046396702763703196
TCL6|27004,0.0463831000145862
RPRM|56475,-0.046360643439162005
FREM1|158326,-0.04633096460636132
ST8SIA1|6489,0.046230623370324894
NIPAL1|152519,-0.04604391440157197
CAMKV|79012,-0.045998084370275534
KRT23|25984,-0.04565337810713725
CES8|283848,0.04554887597172539
WISP3|8838,0.04531876811452109
CAPN8|388743,0.045266963075403246
EOMES|8320,0.04515897727476776
TMEM100|55273,0.04515011056928606
PRSS1|5644,0.0451005235660808
RASGRF1|5923,0.045083453354023646
GPR126|57211,-0.045037630566143114
ZNF676|163223,0.04499450622810607
AQP7P1|375719,-0.044855770840838805
B3GAT1|27087,-0.04481967268025478
LOC389033|389033,0.04477230362231909
TM4SF19|116211,0.044490978359456125
HRCT1|646962,0.04439265285364818
PCDH19|57526,0.0442820516308052
C2orf40|84417,-0.04422757487416654
AFP|174,0.044174434875706374
ST6GALNAC5|81849,-0.04404564796303824
DRD1|1812,-0.043941802575823745
IQCA1|79781,-0.04384288785388734
C14orf64|388011,-0.043770079307077846
PSORS1C2|170680,-0.04367416006466102
ADIPOQ|9370,-0.04360970967866297
SERPINA5|5104,-0.043519766039427976
TRPV3|162514,0.043275860990131955
RAI2|10742,0.04325076178859846
CITED4|163732,-0.04321154502269403
HSD17B2|3294,-0.04301200246883239
C14orf50|145376,-0.042972025616066625
CRHR1|1394,-0.04288811667461275
SLC39A2|29986,-0.042857839939353146
TMEM84|283673,0.04237551693675838
PITX2|5308,0.042117978857294305
KRT79|338785,0.042080242989360826
CBLN2|147381,0.04202536045119956
SYT1|6857,0.04181623584790559
ALDH1A2|8854,-0.041781980068601024
DMBX1|127343,0.04177915067099303
NRG3|10718,0.041761082133814284
NLRP6|171389,-0.041673546546542525
RIMBP2|23504,0.0413893942661674
HIST1H2BG|8339,-0.041346132236863876
S100B|6285,-0.04123364538338927
THSD7B|80731,-0.041233082945205904
LYPD6|130574,-0.04119833058288532
MDGA2|161357,-0.04091505858254079
HIST1H3H|8357,0.04091434971063403
LOC389493|389493,-0.04087683652830944
GP2|2813,0.04079245564980172
KCNE1L|23630,0.04072596551273942
GRP|2922,-0.04051241753725248
C11orf93|120376,0.04047632167575811
CELF5|60680,0.04045669924730817
SCN3A|6328,-0.040433361832923634
CCDC78|124093,-0.040386734030872534
SNCG|6623,0.04034631801614667
OR2B6|26212,0.04034487297846497
SHISA2|387914,0.04027691438919215
CENPV|201161,-0.040244892322175554
C2orf65|130951,0.04013972437577051
CAPN13|92291,-0.04011671771735284
SYT8|90019,-0.04006239258731368
LOC283174|283174,-0.039814275228458644
KCNMA1|3778,0.039757623937474756
B3GNT3|10331,-0.039692770378103606
CHST6|4166,0.03956913618929204
C8orf4|56892,-0.03948478722382952
OPCML|4978,-0.03946179295065685
ENTPD8|377841,0.03920614246802837
LOC285593|285593,-0.03914588080421091
HPGD|3248,0.039112619171289616
AQPEP|206338,-0.03898613580918042
ACSL6|23305,-0.03898516778822154
TFF3|7033,-0.03892423547890817
SLC38A11|151258,0.03890452875197265
SEC14L2|23541,-0.03890439644911627
SCN8A|6334,0.038742499737898235
ASPHD1|253982,-0.038724872000400715
EVPLL|645027,-0.03866617736883951
ADORA1|134,0.03861777857784914
RIMS2|9699,0.0386115676950363
HIF3A|64344,0.03854046786429727
SCN2A|6326,-0.0384911930831283
C6orf218|221718,0.038124859304455846
ADCY1|107,0.0381017991082586
CHODL|140578,-0.038083288308008036
FOSB|2354,-0.03796838359135905
SYT3|84258,-0.037962120626018836
ABP1|26,-0.03791083789382853
C7orf57|136288,0.03772222388634699
NPY5R|4889,-0.03771496918838222
ITPKA|3706,0.03762701487163758
WNK3|65267,0.03759197265673143
MCHR1|2847,0.037529869360506396
GPR55|9290,0.037485339120060676
FTCD|10841,0.03745523638327608
RUNDC3A|10900,0.0374376193995549
MS4A14|84689,0.03738761880227892
OR7D2|162998,-0.03738232715756856
RAB3C|115827,-0.037349618599087385
NCRNA00052|145978,-0.0371516041564154
