Name,Score
hsa-mir-210,-0.19985289165629377
hsa-mir-496,-0.15818464418736478
hsa-mir-526b,-0.1550245154962555
hsa-mir-30a,0.15453255352171535
hsa-mir-375,0.15085220124379836
hsa-mir-150,-0.15066911436326788
hsa-mir-421,-0.14251792775504507
hsa-mir-1180,0.14156689823794655
hsa-mir-503,-0.13601953486014598
hsa-mir-197,-0.1346124187414085
hsa-mir-323,-0.13382491053180637
hsa-mir-511-2,-0.13120519885983573
hsa-mir-519a-1,-0.1296287155350848
hsa-mir-142,-0.12837172138064143
hsa-mir-885,-0.12760359864611015
hsa-mir-424,-0.11719844319138645
hsa-mir-19b-2,-0.11494153857718728
hsa-mir-4326,-0.11491409485757169
hsa-mir-509-1,-0.11068314623550511
hsa-mir-1245,-0.11028609300501777
hsa-mir-320b-2,-0.10189213958688934
hsa-mir-487b,-0.10171729559955436
hsa-mir-329-2,-0.10157137735818546
hsa-mir-433,-0.10131804529355673
hsa-mir-548o,-0.10020139722452567
hsa-mir-514-2,-0.096548737912871
hsa-mir-495,-0.095933963544565
hsa-mir-190b,0.09477110458173546
hsa-mir-320d-1,-0.09153800400540854
hsa-mir-345,-0.09073302684894528
hsa-mir-146a,-0.09060037848402967
hsa-mir-3127,-0.09016817568282223
hsa-mir-636,-0.09008175699476197
hsa-mir-409,-0.0876362744553026
hsa-mir-3647,-0.0854463900585106
hsa-mir-382,-0.0851402769622774
hsa-mir-758,-0.08469955583659071
hsa-mir-30c-1,0.08362735924613601
hsa-mir-186,-0.08277665199040972
hsa-mir-582,0.0821476833171557
hsa-mir-299,-0.080338804293565
hsa-mir-320a,-0.0796287151804529
hsa-mir-3648,-0.07945160525072911
hsa-mir-450b,-0.07932002714202244
hsa-mir-3157,-0.07911771416395068
hsa-mir-671,-0.07878681815002571
hsa-mir-377,-0.07866771718770295
hsa-mir-214,-0.07862901814064568
hsa-mir-889,-0.07820842462706012
hsa-mir-3117,-0.07791006544031225
hsa-mir-891a,0.07689931632784673
hsa-mir-7-3,-0.07629911019928907
hsa-mir-106b,-0.07539627793703606
hsa-mir-654,-0.07492628049926713
hsa-mir-431,-0.07368826344914495
hsa-mir-598,0.07365291876075185
hsa-mir-136,-0.07279298427961035
hsa-mir-3614,-0.07254748544767313
hsa-mir-376a-1,-0.07202986870920754
hsa-mir-296,-0.07128485781560255
hsa-mir-887,-0.06991838934910202
hsa-mir-369,-0.0698926925278104
hsa-mir-372,-0.06928295475086381
hsa-mir-934,-0.06907195909781737
hsa-mir-3651,0.0680699262028356
hsa-mir-1270-2,0.06792730031430222
hsa-mir-543,-0.0678644558957045
hsa-mir-193b,-0.06764125444038506
hsa-mir-653,0.06717251110131084
hsa-mir-141,0.06712078146812397
hsa-mir-101-1,0.06696616576809762
hsa-mir-1537,-0.06666266144218995
hsa-mir-192,-0.0665988096185639
hsa-mir-23b,-0.06593770367681638
hsa-mir-125b-1,-0.06588590754579475
hsa-mir-370,-0.06582750064342882
hsa-mir-542,-0.06475712032732897
hsa-mir-34c,0.06429973139569205
hsa-mir-155,-0.06426088876200106
hsa-mir-581,0.06375600510654775
hsa-mir-16-2,0.06371369417237563
hsa-mir-3174,-0.0632704299664943
hsa-mir-410,-0.06132605376252316
hsa-mir-1254,0.06116833056156417
hsa-mir-1301,-0.061111331781514004
hsa-mir-1249,0.06091891261526498
hsa-mir-221,-0.05921802185582773
hsa-mir-2115,0.05904939825402853
hsa-mir-643,-0.05848628295408327
hsa-mir-376b,-0.0581896490181597
hsa-mir-2116,-0.05796824916434617
hsa-mir-379,0.05743861517790064
hsa-mir-2355,-0.057135130213805035
hsa-mir-1266,-0.05710647893493899
hsa-mir-629,-0.055655446560295654
hsa-mir-362,-0.055521023013621454
hsa-mir-489,0.05545937795430382
hsa-mir-323b,-0.05459824960864388
hsa-mir-1306,-0.054107425489294446
hsa-mir-550a-1,0.05322116012572177
hsa-mir-130b,-0.05239971448302711
hsa-mir-376c,-0.052331083090450536
hsa-mir-140,-0.05168799921602411
hsa-mir-19a,-0.0515038443465963
hsa-mir-103-2,-0.05136925640216677
hsa-mir-3687,-0.05089904970154161
hsa-mir-511-1,-0.05055104724345625
hsa-mir-320d-2,-0.050291201764833794
