,u1
0,0.0
1,0.023572526133422613
2,-0.05309497152825057
3,0.005819977743492719
4,0.023014062300662705
5,-0.03151772199322015
6,-0.012750438541441545
7,-0.026145344349663285
8,-0.002269918922916696
9,0.012001089348099181
10,-0.0018024354948267532
11,-0.021532813027541432
12,0.00268350544258359
13,-0.022908769585176014
14,-0.011377806838292415
15,-0.013196337734502435
16,0.01408834602006195
17,-0.004344592738012819
18,-0.003438662678285168
19,-0.003937017865797729
20,0.0030750707556835076
21,0.025918764980244164
22,-0.008641310038312618
23,-0.00255095641845939
24,0.02469956773618571
25,-0.014554634946771113
26,-0.009704182557316159
27,0.019436157268949022
28,0.008162288149135612
29,-0.018129047163890074
30,0.0030914348750907504
31,0.059761394961846265
32,0.006116386168283736
33,-0.011751877141915548
34,-0.02269695413540285
35,0.022001196946734868
36,0.030369199197486527
37,-0.012973992848566002
38,0.00962449500873709
39,-0.01293784349437779
40,-0.011738003580673966
41,0.011457616344843977
42,0.026554877294090055
43,0.02952121453559504
44,0.0035641959750499245
45,-0.012027342441566793
46,-0.017073382864918
47,0.029146744629734128
48,-0.008596368652846255
49,0.0026440635305232537
50,-0.028280248070465856
51,0.03203220027654341
52,-0.008094041346367034
53,-0.011695884350730988
54,0.009571965889298763
55,-0.015643364791207988
56,-0.018843017174071493
57,0.048776031658344675
58,-0.008406151510716255
59,0.01035091224312631
60,0.037856922038646885
61,-0.004411856993132562
62,-0.007906358592122712
63,0.0035176511210794513
64,-0.00821875980774992
65,-0.001496833704330435
66,0.01307557496054275
67,-0.005117282316358809
68,-0.0093302800335102
69,0.006396235815843261
70,-0.023836657304318703
71,0.012240790716279745
72,-0.00729830711585324
73,-0.04071951984242317
74,-0.019347916498536764
75,0.005303269302901806
76,0.007554816438192614
77,-0.03159658241980723
78,-0.005930527886144433
79,-0.010880999635936679
80,0.030323502191543603
81,0.002141899171218598
82,-0.019312869056802524
83,-0.00894653122576288
84,-0.030826982964556087
85,0.019868679426311424
86,0.013247296404478862
87,0.01961965630522599
88,-0.021653764976132958
89,-0.008365771417844312
90,-0.011189922268033278
91,0.004422612832652553
92,-0.004516975944548735
93,0.01297273419290834
94,-0.011807422777246408
95,0.0015634709646928761
96,0.04795816300293325
97,-0.02661406664888469
98,0.026361745466461917
99,-0.00451698884002381
100,-0.005144617847477099
101,0.03261798147583927
102,0.009135673580447423
103,-0.01734706084964215
104,-0.003130518090296773
105,-0.002567228235812074
106,-0.01812894109746993
107,0.006708990859332483
108,-0.02876099084927549
109,0.008701961470358033
110,-0.011048065250441075
111,-0.015441675172258498
112,0.016437599958891005
113,0.002888641057995419
114,-0.015882084309267748
115,-0.00766646155833897
116,-0.030718179674907586
117,-0.015532623533848855
118,0.0014412688822762695
119,0.017601007373947996
120,-0.0310856667055231
121,0.009143406005396223
122,-0.02129498776378876
123,-0.016904282283916775
124,-0.003480878655551457
125,-0.020203080665717243
126,-0.0036391545166498517
127,0.021355323635572028
128,0.025050694174560992
129,0.01753387202564617
130,-0.015626526947398016
131,-0.027451252395825538
132,0.026759407746412868
133,0.013661929873123297
134,-0.003546769198656175
135,-0.0033835684689729616
136,-0.013534878851209981
137,0.01691953190761618
138,-0.01960515900085522
139,-0.02387584632405042
140,-0.00241633086412132
141,-0.01658622301849429
142,-0.011834535735336046
143,0.017926998943119905
144,0.014357015560059944
145,0.0016988717417459518
146,0.00042198388589782793
147,-0.0022655244651043857
148,0.01884353084598533
149,0.008417277582262876
150,-0.0029569938010285974
151,-0.01965958717613799
152,-0.019697722270359236
153,-0.014516486085820322
154,0.021826403270904862
155,-0.016474913370024467
156,0.013292702341344836
157,-0.02296955249597049
158,0.0008575518757312434
159,-0.01079326086305431
160,-0.03267190526438827
161,-0.028621640811017285
162,-0.0035949987232590398
163,0.007525653942005938
164,0.006036637997768516
165,0.007480090083179537
166,0.005783504821408003
167,0.020158058718511382
168,-0.02041876975501358
169,0.01713928817601862
170,0.0069877347904974164
171,0.01438230894816898
172,-0.009717757962542982
173,0.027025494577635912
174,-0.017470641124839936
175,0.0184892406387384
176,0.0002777891726587868
177,-0.007852538371254937
178,0.006891969351057051
179,0.007834884215616164
180,0.011096835722731702
181,-0.002736327489596513
182,-0.004005194198611389
183,0.0065499420105650085
184,-0.048335139097003654
185,-0.020015058709373396
186,-0.031594496106511084
187,0.00849814640056552
188,-0.03693872776221655
189,-0.005344236138686354
190,0.004786642485312296
191,0.013239027366335317
192,0.0034210382199170485
193,0.008159314600824771
194,0.030928241084557027
195,-0.004161245955739283
196,0.019476610386942202
197,0.027380464822175463
198,0.0034241965689435685
199,0.004922601553568978
200,-0.0023964267338313287
201,-0.002687429654277378
202,-0.00658487057395602
203,0.016053531664994635
204,-0.004230796977233204
205,0.010122097895422792
206,0.0014439289585902232
207,0.033695678402154795
208,0.03444958033027875
209,0.02379192700538347
210,-0.017548843024649933
211,0.009267654426778755
212,-0.007287273493164036
213,0.0028208523925527377
214,-0.029999984023583087
215,-0.04232275331040074
216,-0.0276325667819675
217,0.04351065108371912
218,-0.009137066678066425
219,0.0120724486887649
220,0.025438715315796476
221,0.0030941419477809617
222,0.0055073205594662325
223,-0.005187761117253135
224,-0.022462958538890486
225,-0.004176889629137431
226,-0.0038982949556177066
227,-0.036235898062241055
228,-0.0006466137512251435
229,0.02857915785204294
230,0.006074927267646043
231,-0.01610576846956342
232,-0.02631823135620776
233,-0.010851297123678176
234,0.003466240961730211
235,-0.0005025480345434817
236,-0.00845397895827066
237,-0.007189899201774883
238,0.024711209502986036
239,-0.01002533144224465
240,-0.01572570180174541
241,-0.00222240196245739
242,0.02220151885302051
243,0.021064121777710176
