Name,Score
OGN|4969,-0.145937112340628
STC2|8614,-0.13687320461344302
SFRP1|6422,-0.11532459534538152
IGFALS|3483,-0.11493464375302126
SERPINA11|256394,0.11155491838765341
BCL11A|53335,0.1099861601817546
MARCO|8685,0.10844450521446936
TRIM58|25893,0.1074472930975085
STK32B|55351,0.10554631818831592
KLK5|25818,0.10431856809915364
SHISA2|387914,0.10292242556781532
SYTL5|94122,-0.10193155787818474
RARRES1|5918,-0.09980353497432408
S100A8|6279,0.09703559938800843
SLC16A12|387700,-0.09498095441774727
C1QTNF7|114905,0.0933360686436428
SCN2B|6327,-0.09291848652610044
GABRP|2568,0.09278980825976015
MMP1|4312,0.09161244899440578
C1orf173|127254,0.08934897703058191
ELOVL2|54898,0.08686602206255595
C1orf106|55765,-0.08637861693978874
SLC24A2|25769,0.08609799696873681
KCNK15|60598,0.08428816093359195
NAT1|9,-0.0838716139219075
LRP2|4036,0.07981373542569889
NTN4|59277,0.07948224155201851
TMEM26|219623,0.07948136070775584
CA9|768,0.07762262245413702
KERA|11081,0.07748151206872031
NOVA1|4857,-0.07735716898999735
PTPRT|11122,-0.0753809772079799
CACNA1F|778,0.07350354922553534
NEK10|152110,0.0719078409809022
F2RL2|2151,-0.0713635885746258
KLRG2|346689,0.07109614573718473
SCN7A|6332,0.07091913855879119
OR2W3|343171,-0.07022997237193324
VGLL1|51442,0.0698177960705238
CPB1|1360,0.06944022209417905
TFCP2L1|29842,-0.06912098044728994
SYT9|143425,0.06882749014277464
SLC44A4|80736,0.06848813331688987
GRIK3|2899,0.06804526799585596
CA12|771,0.0668818159686975
TNIP3|79931,-0.06579317725374761
TNN|63923,0.06548398580023047
THSD4|79875,-0.06540572639413189
RGS22|26166,0.0653956027753625
FLJ46111|283102,0.06444918452951144
LUZP2|338645,0.06444413417620798
CYP4F22|126410,-0.06365168912558021
SCUBE2|57758,-0.0633572594511394
KRT14|3861,0.06198675176954216
BNIPL|149428,0.06149716276672092
RIMS4|140730,-0.06126856979148139
ERBB4|2066,-0.06101882947800251
DSC3|1825,-0.06066545672332408
KCND3|3752,-0.0602349800032695
WNT6|7475,-0.06008987952267734
RIC3|79608,0.05883599369326649
CCDC74A|90557,-0.0587984817445993
LAMC2|3918,0.058410307456581184
MLPH|79083,0.058307973849509254
FAT2|2196,-0.05822845561739959
KRT6C|286887,-0.058025929714934435
NAV3|89795,-0.05789371359212621
LRRC17|10234,0.05780949833164273
MIA|8190,0.05780525922118744
SSTR1|6751,-0.05704092494228601
PLA2G2D|26279,0.056952671525746124
IQUB|154865,-0.05635635908872808
KIR2DL4|3805,0.05600266764558113
NBPF4|148545,-0.055928400091324056
MGAM|8972,0.055904593859603835
NPY1R|4886,-0.055896108436940345
FAM38B|63895,-0.05579367083802154
SERPINA5|5104,-0.055497945667702504
IL2RA|3559,-0.05546785058091386
CBX2|84733,0.05545080998718942
MAMDC2|256691,0.05533297990811376
KRT5|3852,0.054715632643476717
NXNL2|158046,-0.05460590841165504
ADAMTS16|170690,0.054363998802223826
CD38|952,-0.05429093345537983
SLC16A6|9120,-0.05346596963987434
KRT6B|3854,0.05339246675083865
PSAT1|29968,-0.05265452997760468
GATA3|2625,0.05265030217575838
SPIB|6689,-0.05214567779939285
PLCH1|23007,-0.051991364643520985
HK3|3101,-0.05166376580331957
TDO2|6999,-0.051649799834482826
TPRG1|285386,0.05161999455580242
LRRC31|79782,0.05151011624141541
IFNG|3458,0.05128239408853171
RAI2|10742,-0.05101144452407732
KLK8|11202,-0.05084476839234587
DUSP9|1852,-0.05044764784462085
MMP7|4316,-0.050242749181742874
ZBTB16|7704,0.050097853680411475
THSD7B|80731,-0.050088151881390604
KCNG1|3755,0.04993114295477672
KLK10|5655,-0.04952384009181755
CCL18|6362,-0.049478952891014255
ZNF695|57116,-0.049277633066194024
CASC1|55259,0.04923017351447647
PTCHD1|139411,-0.0490761405745996
LOC96610|96610,-0.048936109337801875
ADAM33|80332,-0.048609429307348226
SERPINB5|5268,0.0485837438597716
KRT17|3872,-0.048579174813205894
IL6ST|3572,0.04850240560287856
CXCL10|3627,-0.0484128986388219
ABCC8|6833,-0.04837013537722885
ADRA2A|150,-0.048044028582571154
TGM5|9333,-0.0476922112860772
TUBA3E|112714,-0.047610772136622334
CD207|50489,0.04757354598197235
DEGS2|123099,-0.04757201858895577
FERMT1|55612,-0.047441812622135676
SLC6A4|6532,0.04726224129603449
GPR126|57211,0.04722722974555138
TMSB15A|11013,-0.047179198558495485
PDZK1|5174,-0.047167672780540126
LOC643763|643763,0.04674836763621281
PNMA3|29944,-0.04652848579708475
CXCL9|4283,0.046487723840444375
ABAT|18,0.04639378386306695
C14orf50|145376,0.04626742484678386
CDSN|1041,0.04619315196745502
CLDN19|149461,-0.046080156366966336
FLJ45983|399717,-0.04582729619262948
PLAT|5327,-0.04563352121707562
CORO6|84940,0.04561954030704771
FAM196A|642938,0.04554811174959985
CCL13|6357,-0.04482985163188137
ADAMTS15|170689,0.04474238175441991
CYP4Z2P|163720,0.04471908594656638
C20orf26|26074,0.044622091899203485
CHRD|8646,-0.04438555150466502
CHI3L1|1116,-0.044373297635577624
KCNE4|23704,-0.04427272636543414
TPH1|7166,-0.04426596513876606
CNTN4|152330,0.04424081379730246
FOXA1|3169,0.044115276818340474
AK5|26289,-0.043855147733372374
CCL8|6355,-0.043672039218426134
COL9A3|1299,-0.043403452498435524
GSDMC|56169,0.043229300102643864
SLC4A8|9498,-0.04269232034930243
VIPR2|7434,0.042648020789456356
IRX1|79192,0.042458571769306314
