Name,Score
MLPH|79083,0.05173167587965206
FOXA1|3169,0.04880551379206972
ESR1|2099,0.048262577882802436
AGR3|155465,0.04783382738734606
CA12|771,0.04771051889923714
PSAT1|29968,-0.04675389696594859
SCUBE2|57758,0.04650627309189887
THSD4|79875,0.0464129755586322
C6orf97|80129,0.046229484177173506
GATA3|2625,0.045924919080847455
TBC1D9|23158,0.04580287946398844
DEGS2|123099,0.045389317427386396
NOSTRIN|115677,0.044559749602145426
PRR15|222171,0.04436799305933782
SLC44A4|80736,0.044326591260304096
ERBB4|2066,0.04432210071595158
IL12RB2|3595,-0.044260258990920474
ART3|419,-0.04412204701504173
AGR2|10551,0.0440892523426583
ZMYND10|51364,0.04375268249379708
GPR77|27202,0.04364583033589385
ABAT|18,0.04346601458147588
A2ML1|144568,-0.043440734146636246
DNALI1|7802,0.04308890384622567
CDCA7|83879,-0.04242991171297524
ANXA9|8416,0.04241368435953567
TFF3|7033,0.042401492596611995
NAT1|9,0.04236862393173645
FSIP1|161835,0.04220384865118858
BCL11A|53335,-0.0421787571971734
VGLL1|51442,-0.04215070804327072
CAPN8|388743,0.04214268085777484
FOXC1|2296,-0.04192079237240139
CT62|196993,0.04180273835113115
MAPT|4137,0.04178971267282336
LRRC17|10234,0.04166492033527799
UBXN10|127733,0.04144085107118424
CLSTN2|64084,0.04112282534068459
HORMAD1|84072,-0.04108016866898055
FZD9|8326,-0.04106340536992243
AR|367,0.04104967976263518
SPDEF|25803,0.040908590078752305
CASC1|55259,0.040841714864460324
RARRES1|5918,-0.04076573857363825
PGR|5241,0.04054857860847035
AFF3|3899,0.040504660064806186
DNAJC12|56521,0.04043376925796918
WNT6|7475,-0.04020143083293237
SERPINA11|256394,0.04001067718836249
PTPRT|11122,0.03996534378826127
IGF2BP3|10643,-0.03993312405753954
SLCO5A1|81796,-0.03984267823491491
LEMD1|93273,-0.03973004366374279
LOC145837|145837,0.03970484422068507
REEP6|92840,0.03962713310589248
IL22RA2|116379,-0.03948672035332259
CACNA2D2|9254,0.03944056703641686
FLJ45983|399717,0.039209952436466605
SIDT1|54847,0.03914705981806777
DYNLRB2|83657,0.03912747480532388
ROPN1|54763,-0.03911621594773996
AMY1A|276,-0.03909787580868097
SFRS13B|135295,-0.03902478022555866
TPRG1|285386,0.038877273192832656
LAMP3|27074,-0.03887380754448577
NEK10|152110,0.03886678925661885
ABLIM3|22885,0.03885833911403966
LONRF2|164832,0.03879451159050397
MATN3|4148,0.03874690942061076
DACH1|1602,0.038715224635609044
KCNK15|60598,0.03869401278793718
OCA2|4948,-0.03864293997020437
RASGEF1C|255426,-0.03861560074426658
NCRNA00092|100188953,-0.038500952377430696
?|90288,0.03840518409486652
SLC26A9|115019,-0.03824420742888004
SLC6A2|6530,-0.038212691626731944
GABBR2|9568,-0.038189219008456406
CHODL|140578,-0.03816433953293216
NXNL2|158046,0.03809570449720611
CACNA1D|776,0.03807417768149348
ABCC8|6833,0.03795974229304706
PPP1R14C|81706,-0.0379188314441975
SYBU|55638,0.037805822910970635
PNMA3|29944,-0.03770826481001613
GFRA1|2674,0.037546918181569064
CHRD|8646,0.03751824409107759
SPEF1|25876,0.03747449952975975
C20orf26|26074,0.03746570442218354
WDR65|149465,0.03744372965192406
PADI2|11240,-0.03721827452845098
OLAH|55301,-0.037193617030403074
SCNN1A|6337,0.037162477190106805
GREB1|9687,0.037126378852940324
HPDL|84842,-0.03708383416987299
TSPAN1|10103,0.0370709534768538
GFRA3|2676,-0.03697748496093643
DNAH5|1767,0.03693714305435732
LMX1B|4010,0.03689886693816617
SYT9|143425,0.03673770229125377
CBX2|84733,-0.03671202889628711
PCP2|126006,0.036696440478015936
SLC15A1|6564,-0.036695000624115334
TFF1|7031,0.0366834088003169
C10orf79|80217,0.03662939528097181
IGFALS|3483,0.03659448382337478
C1orf64|149563,0.036572341070160226
ACE2|59272,-0.03653739961560694
IL6ST|3572,0.03641542299235608
BCAS1|8537,0.036410396502385
GZMB|3002,-0.03639909164946815
MATN4|8785,-0.03630219448144996
NEK5|341676,0.03627458528290581
CXCL5|6374,-0.036262622496748255
RGS22|26166,0.036243235463915696
BAI2|576,0.03623051775435887
GAL|51083,-0.03620132771621968
EPHB6|2051,-0.03614450048237715
FMO6P|388714,-0.03606589845798356
SYTL5|94122,0.03605594146830143
HLA-DOB|3112,-0.03596770442155627
ESYT3|83850,-0.03595293092059692
OPRK1|4986,-0.03595151206456569
SLC39A6|25800,0.03594674754801264
DDN|23109,-0.035848340533195897
C1orf106|55765,-0.03583758462457865
ADAMTSL5|339366,0.035830633329914055
MPP6|51678,-0.0358135580625108
TMEM63C|57156,0.03580554187589888
ULBP3|79465,-0.035730631476922674
TTC36|143941,0.03566243339685951
MARCO|8685,-0.03565401525103367
UGT8|7368,-0.03560311641564719
RGMA|56963,-0.03554896790999892
KCNN4|3783,-0.035536731151640834
ARL9|132946,-0.03553658716625077
BPI|671,-0.03551525133115969
KCNK5|8645,-0.03549489639653839
SUSD3|203328,0.03549136475488773
WNK4|65266,0.03546393253838552
RAI2|10742,0.035445094449852575
NPNT|255743,0.03542029496621169
ZG16B|124220,0.03541945305163925
PHGDH|26227,-0.03540326169454721
C4A|720,0.03537708635051241
ADAMTS15|170689,0.03537601745897092
STK32B|55351,0.03536372870588865
PTGER3|5733,0.035259471284702144
RERG|85004,0.035224637819191405
F7|2155,0.03520198511772038
C19orf21|126353,0.035147199676700804
CCKBR|887,-0.03503322824117791
STAC|6769,-0.035016056983514614
LRRC50|123872,0.03496288337894488
