,Methods,Scenario,n,type,Values,std
86,SGCCA,Linear,100,Precision,1.0,0.0
87,SGCCA,Linear,100,Recall,0.24440287924679205,0.009002246433856288
88,SGCCA,Linear,100,FS,0.3927198953127592,0.011552473442941948
89,SGCCA,Linear,100,MCC,0.23443623992064339,0.023307691227587427
90,DGCCA,Linear,100,Specificity,0.755006169874007,0.03439612853820762
91,DGCCA,Linear,100,Precision,0.5341666666666666,0.0723945593413084
92,DGCCA,Linear,100,Recall,0.17282204865284403,0.02001880115053685
93,DGCCA,Linear,100,FS,0.26091290599793415,0.030602543452225708
94,DGCCA,Linear,100,MCC,-0.08698960478377789,0.06435878166333876
95,SNGCCA,Linear,100,Specificity,0.9996874766047951,0.0014507708435681874
96,SNGCCA,Linear,100,Precision,0.9988333333333334,0.005403188359149113
97,SNGCCA,Linear,100,Recall,0.9517538334283056,0.08020538169604043
98,SNGCCA,Linear,100,FS,0.9729407684536411,0.0470470738780907
99,SNGCCA,Linear,100,MCC,0.9671469160254912,0.0565604882504468
100,RGCCA,Nonlinear,100,Specificity,0.8074222755540434,0.07797629258561588
101,RGCCA,Nonlinear,100,Precision,0.927,0.029606680927715543
102,RGCCA,Nonlinear,100,Recall,0.20074488095974197,0.006026023949374618
103,RGCCA,Nonlinear,100,FS,0.3300090565981375,0.009796946479887573
104,RGCCA,Nonlinear,100,MCC,0.005824006110402138,0.05358458004025599
105,SGCCA,Nonlinear,100,Specificity,0.8010656495680207,0.07585552612188062
106,SGCCA,Nonlinear,100,Precision,0.9230000000000002,0.03364685885949996
107,SGCCA,Nonlinear,100,Recall,0.2000747912530675,0.006530494943228597
108,SGCCA,Nonlinear,100,FS,0.32885207802838856,0.010802432364216885
109,SGCCA,Nonlinear,100,MCC,0.0007653548930678873,0.055039140050583996
110,DGCCA,Nonlinear,100,Specificity,0.6588174274619039,0.02765964081871026
111,DGCCA,Nonlinear,100,Precision,0.24866666666666673,0.049535621302026454
112,DGCCA,Nonlinear,100,Recall,0.08914424846021994,0.01729271831385644
113,DGCCA,Nonlinear,100,FS,0.1311629409394159,0.025405475483086967
114,DGCCA,Nonlinear,100,MCC,-0.31220298228665605,0.05216000554283448
115,SNGCCA,Nonlinear,100,Specificity,0.9838102253593994,0.018118644139157935
116,SNGCCA,Nonlinear,100,Precision,0.9330000000000002,0.07699134150452676
117,SNGCCA,Nonlinear,100,Recall,0.9955438029783334,0.030237195028467716
118,SNGCCA,Nonlinear,100,FS,0.9616360635462553,0.050340050751844334
119,SNGCCA,Nonlinear,100,MCC,0.9548388956479495,0.05769195934981125
