Methods,Scenario,n,p,s,type,Values,std
KSSHIBA,Nonlinear,100,100,5,Specificity,0.4103859649122807,0.0018271085270759803
KSSHIBA,Nonlinear,100,100,5,Precision,0.011764819552490566,3.6152192791508895e-05
KSSHIBA,Nonlinear,100,100,5,Recall,0.6666666666666669,4.352074256530614e-17
KSSHIBA,Nonlinear,100,100,5,F1-Score,0.02312150996712696,6.981337919449785e-05
KSSHIBA,Nonlinear,100,100,5,MCC,0.015904935248095588,0.0003665639608220325
KSSHIBA,Nonlinear,100,100,5,SR,0.0,0.0
KSSHIBA,Nonlinear,100,100,5,Time,4.869672809060001,0.1572016884752752
KSSHIBA,Nonlinear,200,100,5,Specificity,0.4215438596491228,0.0005672746333966372
KSSHIBA,Nonlinear,200,100,5,Precision,0.011986389296773163,1.1623916188836147e-05
KSSHIBA,Nonlinear,200,100,5,Recall,0.6666666666666669,4.352074256530614e-17
KSSHIBA,Nonlinear,200,100,5,F1-Score,0.023549360704015466,2.243350670281521e-05
KSSHIBA,Nonlinear,200,100,5,MCC,0.018141708610985928,0.00011335036696690996
KSSHIBA,Nonlinear,200,100,5,SR,0.0,0.0
KSSHIBA,Nonlinear,200,100,5,Time,4.56154529118,0.1572773222448336
KSSHIBA,Nonlinear,400,100,5,Specificity,0.32989473684210524,9.628070175438475e-05
KSSHIBA,Nonlinear,400,100,5,Precision,0.010363773747841105,1.48100172711569e-06
KSSHIBA,Nonlinear,400,100,5,Recall,0.6666666666666669,4.352074256530614e-17
KSSHIBA,Nonlinear,400,100,5,F1-Score,0.020410256410256403,2.871794871794916e-06
KSSHIBA,Nonlinear,400,100,5,MCC,-0.0007425467744565483,2.0791309684783346e-05
KSSHIBA,Nonlinear,400,100,5,SR,0.0,0.0
KSSHIBA,Nonlinear,400,100,5,Time,4.54710239201,0.14161883869444927
KSSHIBA,Linear,100,100,5,Specificity,0.33007017543859646,0.00020062081547927573
KSSHIBA,Linear,100,100,5,Precision,0.010366478017705197,3.0933138120395427e-06
KSSHIBA,Linear,100,100,5,Recall,0.6666666666666669,4.352074256530614e-17
KSSHIBA,Linear,100,100,5,F1-Score,0.020415500062039085,5.9979918735832445e-06
KSSHIBA,Linear,100,100,5,MCC,-0.0007047010984198045,4.3272001171546e-05
KSSHIBA,Linear,100,100,5,SR,0.0,0.0
KSSHIBA,Linear,100,100,5,Time,4.7101999999999995,0.15558967893584713
KSSHIBA,Linear,100,100,10,Specificity,0.3315555555555555,0.0006923369859090403
KSSHIBA,Linear,100,100,10,Precision,0.01096040923295549,1.1401745272388218e-05
KSSHIBA,Linear,100,100,10,Recall,0.6666666666666669,4.352074256530614e-17
KSSHIBA,Linear,100,100,10,F1-Score,0.02156624631432072,2.2066175563526873e-05
KSSHIBA,Linear,100,100,10,MCC,-0.00039568522289373483,0.0001524181472147673
KSSHIBA,Linear,100,100,10,SR,0.0,0.0
KSSHIBA,Linear,100,100,10,Time,4.66524641122,0.15924877955733976
KSSHIBA,Linear,100,100,20,Specificity,0.47104166666666664,0.0032056117244260527
KSSHIBA,Linear,100,100,20,Precision,0.015524186542947247,9.21352962863073e-05
KSSHIBA,Linear,100,100,20,Recall,0.6666666666666669,4.352074256530614e-17
KSSHIBA,Linear,100,100,20,F1-Score,0.030341206132234805,0.00017599211863808937
KSSHIBA,Linear,100,100,20,MCC,0.030478202084247813,0.0006979170626610873
KSSHIBA,Linear,100,100,20,SR,0.0,0.0
KSSHIBA,Linear,100,100,20,Time,4.802226125820001,0.15350849328786106
KSSHIBA,Nonlinear,100,100,5,Specificity,0.4103859649122807,0.0018271085270759803
KSSHIBA,Nonlinear,100,100,5,Precision,0.011764819552490566,3.6152192791508895e-05
KSSHIBA,Nonlinear,100,100,5,Recall,0.6666666666666669,4.352074256530614e-17
KSSHIBA,Nonlinear,100,100,5,F1-Score,0.02312150996712696,6.981337919449785e-05
KSSHIBA,Nonlinear,100,100,5,MCC,0.015904935248095588,0.0003665639608220325
KSSHIBA,Nonlinear,100,100,5,SR,0.0,0.0
KSSHIBA,Nonlinear,100,100,5,Time,4.869672809060001,0.1572016884752752
KSSHIBA,Nonlinear,100,100,10,Specificity,0.5917407407407408,0.000851873378149917
KSSHIBA,Nonlinear,100,100,10,Precision,0.017822493817795652,3.649364182484238e-05
KSSHIBA,Nonlinear,100,100,10,Recall,0.6666666666666669,4.352074256530614e-17
KSSHIBA,Nonlinear,100,100,10,F1-Score,0.034716779592373535,6.923715545507802e-05
KSSHIBA,Nonlinear,100,100,10,MCC,0.05475454471089694,0.0001973793126141726
KSSHIBA,Nonlinear,100,100,10,SR,0.0,0.0
KSSHIBA,Nonlinear,100,100,10,Time,3.36022012648,0.0910953920882814
KSSHIBA,Nonlinear,100,100,20,Specificity,0.6057083333333333,0.0012203907730267772
KSSHIBA,Nonlinear,100,100,20,Precision,0.02070250293889563,6.33495040776214e-05
KSSHIBA,Nonlinear,100,100,20,Recall,0.6666666666666669,4.352074256530614e-17
KSSHIBA,Nonlinear,100,100,20,F1-Score,0.04015766490254036,0.00011914483927177588
KSSHIBA,Nonlinear,100,100,20,MCC,0.06146346386140209,0.00030813310447897456
KSSHIBA,Nonlinear,100,100,20,SR,0.0,0.0
KSSHIBA,Nonlinear,100,100,20,Time,4.64401883621,0.1656662861326874
