Methods,Scenario,n,p,s,type,Values,std
SGCCA,Nonlinear,200,100,5,Precision,0.3072922816642181,0.05405945973926301
SGCCA,Nonlinear,200,100,5,Recall,0.89,0.030720564230929524
SGCCA,Nonlinear,200,100,5,F1-Score,0.3722666037122788,0.05074980732544491
SGCCA,Nonlinear,200,100,5,MCC,0.4375920835330111,0.04339856608801425
SGCCA,Nonlinear,200,100,5,SR,0.03,0.03343509533409469
SGCCA,Nonlinear,200,100,5,Time,-0.045537652969360354,0.007781858215730143
SGCCA,Nonlinear,400,100,5,Specificity,0.9612280701754385,0.009398068575599852
SGCCA,Nonlinear,400,100,5,Precision,0.40048485331704675,0.05533891081325258
SGCCA,Nonlinear,400,100,5,Recall,0.9133333333333333,0.028657437273962773
SGCCA,Nonlinear,400,100,5,F1-Score,0.48404567672130766,0.04759809981384313
SGCCA,Nonlinear,400,100,5,MCC,0.5454580874569249,0.03918759704732679
SGCCA,Nonlinear,400,100,5,SR,0.09,0.05609162504331641
SGCCA,Nonlinear,400,100,5,Time,-0.07362701177597047,0.009981692235572454
SGCCA,Linear,100,100,5,Specificity,0.8484561403508772,0.019461045414125355
SGCCA,Linear,100,100,5,Precision,0.25085629793770514,0.07225310772319371
SGCCA,Linear,100,100,5,Recall,1.0,0.0
SGCCA,Linear,100,100,5,F1-Score,0.297437777658568,0.06925934851686011
SGCCA,Linear,100,100,5,MCC,0.38007148759315074,0.06151910142691907
SGCCA,Linear,100,100,5,SR,0.19,0.07689097736405746
SGCCA,Linear,100,100,5,Time,0.025557472705841064,0.0011179368638542257
SGCCA,Linear,100,100,10,Specificity,0.9999629629629629,7.222871765662773e-05
SGCCA,Linear,100,100,10,Precision,0.9975,0.004875438441822437
SGCCA,Linear,100,100,10,Recall,1.0,0.0
SGCCA,Linear,100,100,10,F1-Score,0.9985714285714287,0.002785964823898536
SGCCA,Linear,100,100,10,MCC,0.99864420165326,0.0026440445516222803
SGCCA,Linear,100,100,10,SR,0.99,0.01950175376728975
SGCCA,Linear,100,100,10,Time,0.029390528202056877,0.006094673164349504
SGCCA,Linear,100,100,20,Specificity,1.0,0.0
SGCCA,Linear,100,100,20,Precision,1.0,0.0
SGCCA,Linear,100,100,20,Recall,1.0,0.0
SGCCA,Linear,100,100,20,F1-Score,1.0,0.0
SGCCA,Linear,100,100,20,MCC,1.0,0.0
SGCCA,Linear,100,100,20,SR,1.0,0.0
SGCCA,Linear,100,100,20,Time,0.02556267976760864,0.005080777216680896
SGCCA,Nonlinear,100,100,5,Specificity,0.7109824561403509,0.003875290617841462
SGCCA,Nonlinear,100,100,5,Precision,0.03365875798001947,0.0008591874430262851
SGCCA,Nonlinear,100,100,5,Recall,0.9533333333333335,0.022669819388586032
SGCCA,Nonlinear,100,100,5,F1-Score,0.06501267113871056,0.001649251187614076
SGCCA,Nonlinear,100,100,5,MCC,0.14797968903140307,0.005098873023557222
SGCCA,Nonlinear,100,100,5,SR,0.0,0.0
SGCCA,Nonlinear,100,100,5,Time,-0.027315917015075675,0.004532712489026384
SGCCA,Nonlinear,100,100,10,Specificity,0.8083333333333335,0.0034652984796135623
SGCCA,Nonlinear,100,100,10,Precision,0.051377556706758,0.002067894117782368
SGCCA,Nonlinear,100,100,10,Recall,0.9200000000000002,0.02790276449864183
SGCCA,Nonlinear,100,100,10,F1-Score,0.0972908705267129,0.003858975777561059
SGCCA,Nonlinear,100,100,10,MCC,0.19123195186682518,0.008619084458460885
SGCCA,Nonlinear,100,100,10,SR,0.0,0.0
SGCCA,Nonlinear,100,100,10,Time,-0.025898218154907227,0.002526753351526726
SGCCA,Nonlinear,100,100,20,Specificity,0.7879166666666666,0.00460023338779917
SGCCA,Nonlinear,100,100,20,Precision,0.053115490403755586,0.0020403568990341936
SGCCA,Nonlinear,100,100,20,Recall,0.9366666666666665,0.025630325788019166
SGCCA,Nonlinear,100,100,20,F1-Score,0.10046485691788702,0.003764377235661216
SGCCA,Nonlinear,100,100,20,MCC,0.19412693440370254,0.007967623916653857
SGCCA,Nonlinear,100,100,20,SR,0.0,0.0
SGCCA,Nonlinear,100,100,20,Time,-0.023989927768707276,0.002045906088030667
