Methods,Scenario,n,p,s,type,Values,std
SNGCCA,Nonlinear,200,100,5,Time,3.6445,0.0019867672234058983
SNGCCA,Nonlinear,400,100,5,Specificity,0.9994736842105263,0.0007237408377632344
SNGCCA,Nonlinear,400,100,5,Precision,0.9842222222222222,0.021649301923567368
SNGCCA,Nonlinear,400,100,5,Recall,0.9933333333333334,0.009146666666666666
SNGCCA,Nonlinear,400,100,5,F1-Score,0.9864102564102564,0.01864851444818757
SNGCCA,Nonlinear,400,100,5,MCC,0.9872883462741443,0.017442710818683302
SNGCCA,Nonlinear,400,100,5,SR,0.98,0.027439999999999996
SNGCCA,Nonlinear,400,100,5,Time,8.651399999999999,0.005027848907833235
SNGCCA,Linear,100,100,5,Specificity,1.0,0.0
SNGCCA,Linear,100,100,5,Precision,1.0,0.0
SNGCCA,Linear,100,100,5,Recall,1.0,0.0
SNGCCA,Linear,100,100,5,F1-Score,1.0,0.0
SNGCCA,Linear,100,100,5,MCC,1.0,0.0
SNGCCA,Linear,100,100,5,SR,1.0,0.0
SNGCCA,Linear,100,100,5,Time,1.8987,0.004362089976146748
SNGCCA,Linear,100,100,10,Specificity,1.0,0.0
SNGCCA,Linear,100,100,10,Precision,1.0,0.0
SNGCCA,Linear,100,100,10,Recall,1.0,0.0
SNGCCA,Linear,100,100,10,F1-Score,1.0,0.0
SNGCCA,Linear,100,100,10,MCC,1.0,0.0
SNGCCA,Linear,100,100,10,SR,1.0,0.0
SNGCCA,Linear,100,100,10,Time,2.0435999999999996,0.015624826931521518
SNGCCA,Linear,100,100,20,Specificity,1.0,0.0
SNGCCA,Linear,100,100,20,Precision,1.0,0.0
SNGCCA,Linear,100,100,20,Recall,1.0,0.0
SNGCCA,Linear,100,100,20,F1-Score,1.0,0.0
SNGCCA,Linear,100,100,20,MCC,1.0,0.0
SNGCCA,Linear,100,100,20,SR,1.0,0.0
SNGCCA,Linear,100,100,20,Time,2.0400529126899998,0.013841561229093292
SNGCCA,Nonlinear,100,100,5,Specificity,0.9995438596491226,0.00025089975607039527
