Name,Score
CCL28|56477,0.11256402838956948
PROM1|8842,-0.10307230223256968
KCNJ3|3760,-0.10199514429959312
CLIC6|54102,0.10163015553165552
FOS|2353,0.1007172534648654
FUT6|2528,0.09813893370781594
CHL1|10752,0.09673022430367545
FOSB|2354,0.09294730438331145
STAC2|342667,-0.08636954530057427
HOXB4|3214,0.08307920414195186
KCNE1|3753,0.0783203334101946
SFRP1|6422,-0.07607694306205806
DPYSL5|56896,0.07540638089510215
TMPRSS6|164656,-0.07435163826051298
CPA3|1359,0.07395769795034296
SCN2B|6327,0.0738007551378083
SCN7A|6332,0.07155407619317534
TMEM145|284339,-0.0714261100574122
GABRP|2568,-0.07001125171272911
VTCN1|79679,-0.06978425693344953
C2orf54|79919,0.06955137429227434
KIT|3815,-0.06913428704186741
GRIA4|2893,0.067287439150212
TF|7018,-0.06613610850336432
IBSP|3381,0.06573337001244993
KRT14|3861,-0.06546438607877364
PKP1|5317,-0.0646212234776078
AQP3|360,0.06448774648566638
TCN1|6947,0.06430439235461169
KLK10|5655,-0.06351619554207923
LUZP2|338645,0.06328904110668193
NEK10|152110,0.0632626117528288
DOC2B|8447,0.06267448950677937
PIGR|5284,0.06265543831467162
CLCA2|9635,0.06239030989714767
AQP6|363,0.062022133758372025
RTBDN|83546,0.06181086306995049
THSD7B|80731,0.060346833193115144
CPB1|1360,-0.06032475304630961
SLC18A2|6571,0.05979966089108759
GRPR|2925,0.05818912230287404
GRIA2|2891,-0.05766889096857758
SP5|389058,0.057565118752611666
MAMDC2|256691,0.05747620314679286
LEFTY2|7044,-0.056424197669178486
RGMA|56963,-0.05639435310610074
COMP|1311,0.05578268060709386
PLCH2|9651,0.05560204142422387
FCER1A|2205,0.055533961204090716
CRISP3|10321,0.05507581033578422
TRIM29|23650,-0.054650487206583935
CRYAB|1410,-0.054053937221769745
CYP21A2|1589,0.05386357887854969
CALML3|810,0.05330103059980339
VSIG2|23584,0.05327188651112825
LOC647946|647946,0.05261152089327003
HOXB5|3215,0.05200641751761044
SLC27A2|11001,-0.05197973699565339
IGFN1|91156,0.05185183145592954
MS4A2|2206,0.051744536155791686
ST8SIA1|6489,-0.05166684519912363
HMP19|51617,-0.051066144768537575
THBS4|7060,0.051014723969829326
ID4|3400,-0.05080790656564965
SLC28A3|64078,0.05033079222307607
ADAMTSL5|339366,0.05004528889163142
SOX10|6663,-0.04998973020462884
AMPH|273,0.04992229389510493
DSC3|1825,-0.04988392845322602
VGF|7425,0.04985465895727045
HDC|3067,0.04982047219719227
LCK|3932,-0.049351579069106644
TPSAB1|7177,0.04896472934795289
HOXB3|3213,0.04875965664412036
BAMBI|25805,-0.04874259447997284
FMO2|2327,-0.048665070313158205
CELF4|56853,0.04862337675217611
KRT1|3848,0.04842528269357539
PCOLCE2|26577,-0.048076684641472016
ADORA1|134,0.04801721163833827
LTF|4057,0.04751653063707046
SEZ6L|23544,-0.04745516526082847
SHROOM1|134549,0.047143726943105244
SYT13|57586,-0.0470721070042396
EEF1A2|1917,-0.04673495991263562
CLEC9A|283420,0.046714427283991666
KCNC1|3746,0.046608634006798946
ACY3|91703,0.046388410565113725
S100B|6285,-0.04627271867716621
MUC1|4582,0.04614283014084383
SERPINA6|866,-0.04590909583305103
HOXB6|3216,0.04556267151401346
PHYHD1|254295,0.045474658130435504
FAM184B|27146,0.04543092913665069
CEACAM5|1048,-0.04543017958779494
KRT5|3852,-0.0450881292903
SYN2|6854,-0.044814483572180853
SLC7A10|56301,-0.04467158562467797
KLK11|11012,-0.044529634744752265
TAC1|6863,0.04443970367108642
POU2AF1|5450,-0.04443648087533936
ZBTB16|7704,0.0444136855650881
CGA|1081,-0.04433887798945409
CST5|1473,-0.04428236943693681
MUC15|143662,-0.044092655896429474
CD3E|916,-0.04401931204152726
GPRIN2|9721,-0.04326287306854156
HOXB2|3212,0.04317163024817348
ENTPD8|377841,-0.04293508463419644
PGR|5241,0.04289499637813957
ETV4|2118,0.0428850825217433
CAPSL|133690,0.04253108964566723
LOC440925|440925,0.042475655313046506
HIF3A|64344,-0.04243197061727629
KRT23|25984,-0.04236572109915267
CD3D|915,-0.04235222870901855
GAS2L2|246176,0.04230844892666377
TRPM6|140803,-0.042301386694272664
KLK8|11202,-0.04211436042715787
CDO1|1036,0.04196025539375945
OSR1|130497,-0.04180735203200628
CXCR3|2833,-0.04154319853723078
FAT2|2196,-0.041503387124954196
MESP2|145873,-0.04127724411742748
KRT17|3872,-0.04107661659933061
CPNE4|131034,-0.04104648352194485
SMC1B|27127,0.04098919734894563
CES4|51716,0.04092862783312011
PTX3|5806,-0.0408486211489592
FAM196A|642938,-0.04078440831083092
C11orf92|399948,-0.04073184153845111
C16orf89|146556,0.04059176276063046
FAM83E|54854,0.04053412656198885
TNN|63923,0.040414255079007
CD8B|926,-0.040345345983413126
DSG1|1828,-0.04018036815039672
MMP7|4316,-0.04015829987356666
WDR63|126820,0.04000624896230713
KLK1|3816,-0.03998443728711482
KCNK2|3776,0.03998010226147201
CAPN6|827,-0.03997739906833553
TP63|8626,0.03995139510766619
TIMP4|7079,0.03993321313976222
HHIPL2|79802,-0.03992595610206671
ROPN1L|83853,0.039921675092233634
C1QTNF7|114905,0.039867086653583975
TMEM100|55273,-0.03983186377379798
DNAH9|1770,0.03978855006011392
P2RY10|27334,0.03973998007576637
CITED4|163732,-0.03967441369761389
TDRD9|122402,0.039652965543512816
STEAP4|79689,0.03948213763286843
TAT|6898,0.039467665297201
CTSG|1511,0.03934931270106397
OPRK1|4986,0.03932728296763987
