Name,Score
DNAJC12|56521,-0.08633277740840824
KIRREL3|84623,0.08422736666533005
TMPRSS3|64699,0.07452103688571027
C1orf168|199920,0.07418471748135161
DUSP9|1852,-0.0706285349468692
GJB3|2707,-0.06894621921329389
TRIM29|23650,-0.06891575755393359
ALOX15B|247,-0.06791316400844075
SYTL5|94122,0.06536529862819822
NXNL2|158046,0.0650897660529533
TMSB15A|11013,0.06457725811098564
CYP4B1|1580,-0.06436894570853874
KLK5|25818,0.06309432333683
C1QL4|338761,0.0628192708656905
PTPRN2|5799,0.06268416831920705
PADI2|11240,-0.06257889379203106
CFB|629,-0.062291628949363534
PLAT|5327,0.06220669993696822
S100A8|6279,-0.062097842403225856
FOXC1|2296,-0.062046368582760573
SHISA9|729993,0.061346363068362754
CA12|771,-0.061166236648194906
LGALS12|85329,-0.06045440543038268
COCH|1690,-0.0583884869009987
SEC14L2|23541,-0.058222110634015056
KCNK15|60598,0.058090141782978534
RAI2|10742,-0.05798133293249436
SHISA2|387914,-0.05772782408261642
GPR12|2835,-0.05769359109900522
IGF1|3479,-0.057438379748155875
COL10A1|1300,0.057215680217296644
SCEL|8796,0.05657851130829395
C2CD4A|145741,-0.0562799533643386
LAMP3|27074,0.05625269157841052
KRT6C|286887,-0.05607349055772008
GRAMD2|196996,0.05576766165410053
PCP2|126006,0.0555928447626627
NTRK2|4915,-0.05495156183521039
PAPL|390928,0.054728578867392956
CYP4F12|66002,0.054502500665957625
NPM2|10361,-0.0543290437399213
PCDH8|5100,-0.054217698837251575
FAM83E|54854,-0.053955611130177876
LOC283174|283174,-0.053827171692536764
DNAH5|1767,0.053719296274739835
NTN4|59277,-0.053393357000520836
LOC84856|84856,0.053314879230518
FAM131C|348487,0.05301084898559133
HPGD|3248,0.05289686957845236
FCRL5|83416,0.052752556721413144
HOXB5|3215,0.052301445392375946
ATP8A2|51761,0.05220366472242004
SLC27A6|28965,0.05204542129075738
LOC389033|389033,-0.0518332963321439
SERPINB5|5268,0.05173186408201387
GJB5|2709,0.05169589598032446
PCDHB8|56128,0.05162547668669197
CACNG1|786,-0.05160354976218074
JPH3|57338,0.051437900890914275
CHAD|1101,0.051218096645784625
C2orf54|79919,-0.051145135578558834
GABRA3|2556,0.05108777927707714
NOL4|8715,0.05097289788438974
DDC|1644,-0.05048626675598252
PYDC1|260434,0.050208860802177686
PRR15|222171,0.050061465580555235
