Name,Score
HOXB5|3215,0.16359945010817345
OMD|4958,0.1421659335051369
HOXB6|3216,-0.14021873615522387
COL10A1|1300,-0.1170663019870547
CXCL5|6374,0.11580571886346391
CDCA7|83879,-0.1088116276417846
AIM2|9447,-0.10641789092770819
ADH1B|125,0.10564263595282347
CD38|952,0.10089316113608532
PLA2G2D|26279,-0.09852458954003691
TMPRSS6|164656,-0.09775996180689253
KCNJ10|3766,0.08942340484327216
AR|367,0.08894021597166603
RET|5979,0.08853761411727419
FCRL3|115352,0.08788410033437914
HOXB4|3214,-0.08678506796122645
PIP|5304,0.08676953378035618
CIDEC|63924,0.08582906381086285
HLA-DOB|3112,0.08533970534268923
ANXA9|8416,0.08465947013702185
ASPN|54829,-0.08079220177368418
LRRC15|131578,0.07876358539026866
SIRPG|55423,-0.07768988523800902
RAI2|10742,0.07727725828221774
SCGB1D2|10647,-0.07724923826403214
SFRP4|6424,-0.07696045325187185
HOXB3|3213,-0.07494463194989442
ADAMDEC1|27299,0.0740117409989894
SOX10|6663,0.07347644763739292
IGF2BP2|10644,-0.07215499097394422
FAIM2|23017,-0.0697059252763886
GBP5|115362,0.06928752445087662
DEGS2|123099,-0.06909819317046395
GPR1|2825,-0.06839770090591617
GLYATL2|219970,0.06730586731048835
PTPRT|11122,0.06715759075692937
CD7|924,0.06705503270377838
IFNG|3458,0.06704919673283496
KERA|11081,-0.06670833148558286
MIA|8190,-0.06661835838115412
TFAP2B|7021,-0.06583436580683721
IGFALS|3483,-0.06569565483483644
LAG3|3902,-0.06560988980469924
FGFBP1|9982,-0.0648555913686964
ADIPOQ|9370,-0.06270839682885211
GPR77|27202,-0.06216777846119978
METRN|79006,-0.06199133717392835
CYP4B1|1580,0.06186436186700148
TCL1A|8115,0.06142393752933984
INPP5J|27124,-0.06092870526464742
TFF1|7031,-0.0601461179077075
TTYH1|57348,-0.05883727509464817
IL6ST|3572,-0.058814146377428655
FCRL5|83416,0.05855708062902755
OLAH|55301,0.05845964434149742
CFB|629,-0.058426936173003687
KIAA0748|9840,-0.05835862433927279
CYP4F22|126410,-0.05742009267316214
ULBP3|79465,-0.05720789069444559
SERPINA11|256394,0.05705894024226159
TNFRSF9|3604,-0.057005782905805547
OGN|4969,0.056726997576098524
PPP1R1A|5502,-0.05664845749903273
COL17A1|1308,-0.055619637997620146
MAPK4|5596,0.055482233413513354
DNER|92737,-0.055330947144973844
LOC145837|145837,-0.05528890813490974
C1QL2|165257,-0.055247919161879856
MLPH|79083,0.05504992838017743
UPF0639|400224,-0.05478533393239374
UGT2B10|7365,0.054336763762062895
ZNF492|57615,0.0542727617887052
KRT81|3887,0.054263776174987344
CR2|1380,0.0538067428179507
LPPR3|79948,0.053209162906333415
TNN|63923,0.052943340780624536
SCN7A|6332,-0.052847742459390834
ABCC8|6833,-0.0517975895432743
SLC6A2|6530,-0.051296975169370894
CCDC48|79825,0.05111606146421436
DDN|23109,0.050870744157355145
NOSTRIN|115677,-0.050805479168563115
ROPN1B|152015,0.05050342542215146
PAX5|5079,-0.05018999252317294
