,u3
0,0.0
1,0.0
2,0.0
3,0.0
4,0.01836079096276247
5,1.2247494685091456e-13
6,1.5894577320985095e-13
7,3.766431611040844e-14
8,0.06773278168454017
9,-2.0296264668928647e-15
10,-0.0001481044777584019
11,-1.0781306403195858e-14
12,-0.002075542091128046
13,-0.0007481634817399914
14,-0.032851882306842065
15,-3.528423213328136e-13
16,-0.018826667741830703
17,-1.516581998872724e-14
18,-2.5387678070920576e-15
19,-0.00019430039080365824
20,2.1233015345956123e-15
21,5.795711133238514e-13
22,0.011453875756003718
23,0.09921248621223425
24,-0.0665328478995277
25,-0.04948833229447409
26,4.8881038106074477e-14
27,-1.592259310512212e-14
28,-0.14560439468136413
29,1.3780643293159757e-14
30,-4.2917058795666215e-15
31,5.4609095023749895e-15
32,-0.0029392173336734097
33,3.663735981263017e-15
34,-4.088049343486944e-14
35,0.031983447914203204
36,0.08603815045113741
37,-5.047004481006923e-14
38,-1.1518563880486001e-15
39,1.3183898417423736e-16
40,-0.018509344183866853
41,-0.038136000992422855
42,0.016168038941944407
43,-0.11732505619620316
44,1.8798827422408158e-15
45,0.0016072794168273704
46,-1.9845236565174677e-15
47,1.2559397966072085e-15
48,0.0657359792451569
49,-0.24330065228378395
50,-6.093216209368536e-16
51,-5.006411951669066e-15
52,2.239181062790863e-14
53,-0.032310742295197155
54,-0.028588540345825125
55,-6.279698983036043e-16
56,-1.6792123247455495e-15
57,-0.0009746502624506997
58,-0.33124174809542684
59,-2.834538159746103e-15
60,0.0017479978247575535
61,-4.718447854656916e-16
62,-0.016586816731737432
63,1.8818280267396407e-14
64,-2.775557561562892e-17
65,-4.510281037539699e-16
66,-0.0013767886017620995
67,0.10886997150894008
68,-0.0038517420563752357
69,-0.015230883109101465
70,6.352206567555624e-06
71,3.313321839115702e-16
72,8.326672684688675e-17
73,-0.05684585896311622
74,-0.05800300601621644
75,0.008035363675425506
76,-0.008441869419087028
77,-0.14796980066911017
78,0.00792298859843695
79,-4.579669976578772e-16
80,8.326672684688675e-17
81,2.0990154059319368e-16
82,0.05309575837815598
83,1.5820678100908483e-15
84,-0.14128809113042798
85,-0.053786389936308375
86,1.4432899320127037e-15
87,3.4139358007223568e-15
88,-0.04403338102269651
89,-5.984795992119986e-17
90,-5.551115123125784e-17
91,5.273559366969495e-16
92,0.0004170887858160802
93,-0.0027222953907258826
94,-1.9428902930940242e-16
95,0.04322998775245407
96,-3.6082248300317592e-16
97,-0.10178767457203214
98,-0.004128652977299541
99,0.07966185372077154
100,1.9528823003156506e-13
101,-0.01503066201780763
102,-1.665334536937735e-16
103,0.0587038553421169
104,-3.8857805861880484e-16
105,-0.14872872204817975
106,0.05088888016965668
107,1.387778780781446e-17
108,-1.8041124150158796e-16
109,0.03835401257806766
110,-1.5265566588595905e-16
111,-0.017750878725340254
112,-4.758346494604383e-15
113,-0.008255239222520432
114,-2.6367796834847473e-16
115,-1.5404344466674049e-15
116,4.718447854656916e-16
117,0.011292295342836763
118,0.0021030787897502205
119,0.02738724791789289
120,0.08765587439639033
121,4.017619570362286e-15
122,0.001076285868873829
123,-0.00514781491330581
124,0.06915957955277666
125,-0.013743496855077433
126,-4.1633363423443376e-17
127,5.551115123125784e-17
128,-9.961344028776173e-05
129,0.002619453209800157
130,-0.15226528856077506
131,1.387778780781446e-17
132,-2.775557561562892e-17
133,-3.061786935099065e-15
134,-0.07336248070791754
135,-2.0469737016526326e-16
136,-1.0408340855860844e-17
137,6.93889390390723e-18
138,1.0408340855860844e-17
139,-0.008007858876193945
140,-0.04803332887565353
141,-8.673617379884037e-17
142,0.010269297562967466
143,0.018956602567017592
144,7.546047120499112e-17
145,4.1633363423443376e-17
146,-0.025910482955424446
147,-0.0427873352077259
148,2.027891743416888e-15
149,0.02980339506057114
150,-4.8572257327350605e-17
151,0.03604082870731742
152,4.1633363423443376e-17
153,1.387778780781446e-17
154,0.11756569114354949
155,0.14801065989500173
156,0.016561061603678973
157,2.775557561562892e-17
158,-0.051844335235588235
159,-0.025542949593397538
160,2.272487753529618e-16
161,4.1633363423443376e-17
162,-0.048094388056989436
163,-0.052675539404141866
164,5.776649804536429e-05
165,-3.6776137690708315e-16
166,0.02161924004227672
167,1.387778780781446e-17
168,0.0
169,-0.007370532430700881
170,-1.2836953722228375e-16
171,-0.04838164502187147
172,-6.93889390390723e-18
173,-0.002279009273280536
174,-1.0200174038743628e-15
175,6.93889390390723e-18
176,7.216794959785606e-06
177,7.806255641895633e-18
178,6.238001805500173e-05
179,0.029971376990811666
180,-0.09490159244666675
181,-0.1508709718795555
182,-0.04625139210433281
183,-2.289834988289386e-16
184,-2.359223927328458e-16
185,2.602085213965211e-17
186,-0.008627926436295934
187,-0.01549050105099156
188,-0.003983724506699317
189,6.245004513516507e-17
190,-2.34187669256869e-17
191,0.07476571475490813
192,-3.469446951953615e-18
193,1.3010426069826055e-18
194,0.031812967435310105
195,5.204170427930422e-18
196,-0.12189731712644324
197,0.01832474316187911
198,-1.647987302177967e-15
199,-4.77048955893622e-17
200,-2.0816681711721688e-17
201,-1.3712989077596662e-15
202,-4.68375338513738e-17
203,1.985391018255456e-15
204,-0.01216393378045519
205,0.028005513779264628
206,-0.02895052183565867
207,0.00563704154051192
208,1.379105163401562e-16
209,0.14299266414057704
210,0.03815475872800372
211,0.0065782002564867175
212,-4.987329993433321e-18
213,8.023096076392734e-18
214,-0.012537796531965842
215,6.505213034913028e-19
216,-0.0938084085442238
217,0.009869922635765551
218,-0.0181521338840253
219,0.04022401155992287
220,-0.00617658300610177
221,0.018872444828872292
222,4.679687626990559e-17
223,8.470329472543005e-21
224,0.0
225,0.0
226,4.77048955893622e-17
227,2.7105054312137616e-19
228,-0.057240055720520704
229,5.93261876256912e-18
230,0.0
231,-7.474430484808761e-18
232,0.0
233,5.082197683525803e-21
234,-3.1763735522036267e-22
235,0.008264462887815889
236,-0.02038949256728812
237,-0.07225834372163252
238,1.0587911840678757e-22
239,-0.014509489765202109
240,-0.022325573029126838
241,0.019561717431186856
242,0.0034244108643221903
243,2.646977960169689e-23
244,5.293955920339378e-23
245,0.0
246,0.058228804711887044
247,6.617444900424223e-24
248,0.09796006689773294
249,2.6072732907671436e-21
250,-1.48892510259545e-23
251,-0.061081019883591436
252,-1.0339757656912848e-25
253,-0.005114851544169412
254,7.253992693526456e-21
255,-0.08035703295009332
256,-5.782277517198758e-17
257,6.627750730751323e-21
258,-0.07247691758896908
259,-0.11291050813518475
260,-1.9341647608249207e-21
261,0.010380049326568995
262,2.1764987919409808e-24
263,4.099552352252555e-26
264,9.592548607487505e-28
265,2.6064053706006547e-19
266,0.07488182535820677
267,-0.04288366202415821
268,-0.0032385414701383663
269,0.03309137278778137
270,0.11127732072948067
271,-1.6395628256128336e-23
272,-2.0823767334474822e-18
273,0.00016200579938136522
